Agent ID,Agent Class,Trade Behavior,Total Wealth,EMPottery,IberianPottery,NAPottery,TarrPottery,WMPottery,ItalianPottery,AegeanPottery,EgyptianPottery,AdriaticPottery,GallicPottery,BaeticanPottery
34,Eastern Mediterranean,conservative_trade,0.0,1.5,1.4,2.1,1.1,1.0,1.3,1.3,1.1,1.5,2.6,1.2
35,Eastern Mediterranean,random_trade,0.0,1.4,2.7,2.1,1.8,2.3,2.3,2.2,2.5,2.8,2.1,2.3
36,Eastern Mediterranean,conservative_trade,0.0,1.2,1.8,1.0,1.2,1.4,1.8,1.3,2.1,1.6,1.4,1.8
37,Eastern Mediterranean,aggressive_trade,0.0,6.1,5.4,6.2,6.3,5.7,6.2,4.1,6.8,5.0,6.2,5.7
38,Eastern Mediterranean,random_trade,0.0,2.4,3.3,2.7,3.1,3.5,1.6,3.4,2.1,3.4,3.6,2.8
39,Eastern Mediterranean,conservative_trade,0.0,0.5,1.6,1.7,1.0,2.0,1.8,2.2,1.4,1.9,1.7,1.8
40,Eastern Mediterranean,aggressive_trade,0.0,6.4,5.5,5.7,7.1,6.9,5.5,5.5,4.7,6.7,6.2,6.8
41,Egypt,random_trade,0.0,2.4,3.0,2.1,2.4,3.1,2.1,2.9,2.9,2.5,3.0,2.5
42,Egypt,aggressive_trade,0.0,5.8,4.8,5.4,5.2,5.9,5.6,4.5,6.0,5.3,6.9,6.8
43,Egypt,random_trade,0.0,2.5,2.2,2.5,2.6,2.6,3.1,2.9,2.1,2.9,3.5,1.7
44,Egypt,conservative_trade,0.0,1.5,1.7,2.0,1.4,1.6,1.5,1.6,1.6,1.4,1.8,1.5
45,Egypt,conservative_trade,0.0,1.8,2.3,1.5,1.1,1.9,1.7,1.1,1.3,1.0,1.7,1.7
46,Egypt,conservative_trade,0.0,1.1,1.9,1.7,1.3,1.4,1.7,2.4,1.4,1.8,0.9,1.4
47,Egypt,conservative_trade,0.0,1.6,2.4,1.4,1.5,0.9,1.6,2.2,2.3,1.3,0.9,1.1
48,Egypt,conservative_trade,0.0,2.0,1.4,0.9,1.4,0.8,2.2,1.5,1.7,1.9,2.4,1.3
49,Egypt,conservative_trade,0.0,2.1,1.6,1.1,1.3,1.7,1.7,1.4,1.4,1.9,2.4,1.6
50,Egypt,conservative_trade,0.0,1.1,1.9,1.8,1.2,1.5,1.4,2.3,1.2,0.9,1.7,1.8
51,Gallia,random_trade,0.0,2.6,2.0,2.7,2.9,2.4,3.5,2.8,3.0,2.1,3.1,2.5
52,Gallia,conservative_trade,0.0,1.7,1.7,1.3,1.8,1.4,1.7,1.5,1.6,1.5,1.5,0.8
53,Gallia,conservative_trade,0.0,1.4,2.0,1.3,2.2,1.7,1.2,1.2,2.0,1.4,1.6,1.8
54,Gallia,conservative_trade,0.0,1.3,2.1,2.4,1.3,1.8,1.2,1.5,1.2,1.8,1.5,1.7
55,Gallia,random_trade,0.0,3.5,2.3,3.1,3.3,3.1,2.8,2.3,2.4,2.3,1.7,2.6
56,Gallia,conservative_trade,0.0,1.5,1.5,2.4,1.5,1.6,1.3,2.1,1.6,1.6,1.1,0.9
57,Gallia,aggressive_trade,0.0,6.1,6.3,7.2,5.3,5.4,6.3,6.7,5.6,5.1,4.6,6.9
