0;1;1624
0;2;3297
0;3;2722
0;4;2606
0;5;2977
0;6;1795
0;8;1888
0;9;3003
0;10;2686
1;0;1632
1;2;3086
1;3;1291
1;4;1205
1;5;2856
1;6;1761
1;8;1459
1;9;2764
1;10;2446
2;0;3329
2;1;3161
2;3;4225
2;4;3877
2;5;1397
2;6;1938
2;8;2220
2;9;823
2;10;770
3;0;2785
3;1;1326
3;2;4200
3;4;778
3;5;3976
3;6;2895
3;7;2490
3;8;3904
3;9;3554
4;0;2662
4;1;1233
4;2;3962
4;3;763
4;5;3660
4;6;2625
4;8;1914
4;9;3674
4;10;3351
5;0;3001
5;1;2843
5;2;1400
5;3;3903
5;4;3559
5;6;1287
5;8;1984
5;9;573
5;10;995
6;0;1791
6;1;1756
6;2;1938
6;3;2840
6;4;2440
6;5;1278
6;8;1316
6;9;1379
6;10;1362
8;0;1886
8;1;1455
8;2;2223
8;3;2431
8;4;1861
8;5;2003
8;6;1321
8;9;1935
8;10;1642
9;0;2970
9;1;2813
9;2;826
9;3;3876
9;4;3528
9;5;573
9;6;1381
9;8;1954
9;10;381
10;0;2730
10;1;2494
10;2;272
10;3;3547
10;4;3269
10;5;955
10;6;1425
10;8;1680
10;9;381
7;0;3050
7;1;2861
7;2;701
7;3;3977
7;4;3599
7;5;907
7;6;1555
7;8;1837
7;9;399
7;10;441
0;7;3050
0;0;0
1;1;0
1;7;2861
10;10;0
10;7;441
2;2;0
2;7;701
3;3;0
4;4;0
4;7;3599
5;5;0
5;7;907
6;6;0
6;7;1555
7;7;0
8;8;0
8;7;1837
9;9;0
9;7;399
