Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,AegeanPottery,BaeticanPottery,TarrPottery,WMPottery,NAPottery,GallicPottery,EgyptianPottery,AdriaticPottery,ItalianPottery
25,Baetica,conservative_trade,False,-0.6600000000006364,1.5,1.8,1.7,1.9,1.6,1.2,3.6,1.5,1.7,2.0,0.1
26,Baetica,random_trade,False,-0.4600000000007853,3.2,3.6,3.4,4.7,3.2,2.9,4.4,3.8,3.9,3.1,0.5
27,Baetica,aggressive_trade,False,-0.766666666672493,10.5,9.166666666666666,9.0,14.5,9.666666666666666,9.5,9.666666666666666,7.666666666666667,11.833333333333334,9.5,2.3333333333333335
27,Baetica,aggressive_trade,True,6685.300000000181,14.5,12.0,14.75,12.5,13.5,14.25,13.25,13.25,12.75,16.25,2.25
28,Baetica,conservative_trade,False,-0.8000000000007187,1.2,1.7,1.7,2.5,1.4,0.9,2.6,1.8,1.6,1.1,0.4
29,Baetica,random_trade,False,-0.5700000000010838,3.3,2.9,3.2,2.8,3.0,5.2,5.4,3.5,3.9,3.9,0.7
30,Baetica,conservative_trade,False,-0.710000000000617,1.6,1.9,2.6,1.4,1.4,1.6,2.7,2.1,1.1,1.5,0.0
31,Eastern Mediterranean,random_trade,False,-0.6700000000010233,4.7,3.3,4.5,2.5,2.9,2.0,6.1,3.4,3.9,2.8,0.8
32,Eastern Mediterranean,conservative_trade,False,-0.7700000000006297,1.5,1.4,1.8,1.6,1.6,2.0,2.7,1.6,2.8,1.3,0.0
33,Eastern Mediterranean,random_trade,False,-0.5600000000008898,2.6,3.6,3.6,4.2,4.1,3.7,4.9,3.8,3.3,3.3,0.5
34,Eastern Mediterranean,conservative_trade,False,-0.6400000000006678,1.1,1.3,1.5,1.9,1.6,1.8,4.9,1.4,1.9,1.9,0.0
35,Eastern Mediterranean,aggressive_trade,False,-0.40000000002519903,10.0,11.333333333333334,11.333333333333334,10.0,11.666666666666666,14.666666666666666,6.666666666666667,11.666666666666666,12.333333333333334,10.333333333333334,2.6666666666666665
35,Eastern Mediterranean,aggressive_trade,True,827.5000000000117,13.0,13.285714285714286,11.857142857142858,13.857142857142858,10.571428571428571,11.285714285714286,26.142857142857142,10.571428571428571,12.142857142857142,11.714285714285714,0.5714285714285714
36,Eastern Mediterranean,conservative_trade,False,-0.6800000000007176,1.5,1.5,0.9,1.8,1.5,1.6,3.7,1.7,1.6,2.3,0.2
37,Eastern Mediterranean,random_trade,False,-0.7300000000010427,4.1,3.9,3.6,3.1,3.0,4.6,3.9,2.5,2.5,3.3,0.4
38,Eastern Mediterranean,aggressive_trade,False,-0.6333333333590896,16.666666666666668,12.333333333333334,9.666666666666666,11.0,9.0,8.333333333333334,14.0,8.0,9.0,10.666666666666666,3.0
38,Eastern Mediterranean,aggressive_trade,True,1321.8285714286217,11.571428571428571,14.0,13.571428571428571,12.0,12.857142857142858,12.0,19.571428571428573,14.285714285714286,12.571428571428571,12.857142857142858,1.2857142857142858
39,Eastern Mediterranean,conservative_trade,False,-0.7000000000007296,1.9,1.4,1.2,1.5,1.7,2.0,3.2,1.6,1.9,1.3,0.0
40,Eastern Mediterranean,aggressive_trade,False,-0.5250000000189401,11.5,9.5,12.5,9.25,7.75,11.5,14.0,11.5,13.0,9.25,4.0
40,Eastern Mediterranean,aggressive_trade,True,2518.4999999999923,10.166666666666666,13.666666666666666,14.666666666666666,12.5,14.0,14.833333333333334,19.0,14.166666666666666,12.166666666666666,11.833333333333334,0.6666666666666666
41,Egypt,aggressive_trade,False,-0.7000000000353659,10.8,12.6,11.6,13.0,11.0,12.6,12.2,9.6,10.8,11.6,1.2
41,Egypt,aggressive_trade,True,2272.6600000000476,11.4,11.8,12.2,11.4,13.4,11.0,26.0,12.0,13.2,13.6,1.2
42,Egypt,aggressive_trade,False,-0.8400000000130566,11.6,11.4,12.6,13.4,13.0,12.0,13.6,10.0,13.8,9.2,1.2
42,Egypt,aggressive_trade,True,572.95999999994,16.6,17.4,12.8,13.6,12.4,9.6,12.2,13.2,12.8,13.8,3.0
43,Egypt,random_trade,False,-0.7600000000007411,3.6,3.8,2.9,3.7,3.1,3.8,5.2,4.2,2.3,4.1,0.6
