Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,ItalianPottery,EgyptianPottery,AegeanPottery,WMPottery,BaeticanPottery,IberianPottery,EMPottery,TarrPottery,NAPottery,AdriaticPottery
45,Egypt,random_trade,False,1.8059999999999867,1.3,1.3,1.1,2.2,1.6,0.8,0.7,1.1,2.4,1.5,1.2
46,Egypt,conservative_trade,False,1.8232500000000134,1.0,0.9,1.5,0.7,1.3,2.0,1.1,1.0,1.5,1.0,0.6
47,Egypt,random_trade,False,2.804249999999974,0.9,1.2,1.2,2.2,1.0,0.9,1.1,1.5,1.7,1.5,1.4
48,Egypt,aggressive_trade,False,1.539249999999843,3.1,0.5,3.6,2.1,1.9,0.7,0.7,3.8,4.2,1.5,3.9
49,Egypt,aggressive_trade,False,2.434750000000043,2.6,0.7,3.3,3.2,3.8,1.1,0.7,2.8,2.1,2.9,3.6
50,Egypt,random_trade,False,1.365999999999962,1.5,0.9,1.3,1.4,1.3,0.3,0.7,1.9,2.3,2.1,1.0
51,Egypt,random_trade,False,2.099250000000026,1.7,0.8,2.0,1.4,1.9,1.1,0.9,2.2,2.3,1.2,1.3
52,Egypt,random_trade,False,1.4697500000000292,2.3,1.1,2.4,1.5,2.2,0.6,0.7,1.1,1.5,1.0,1.6
53,Egypt,random_trade,False,1.5127499999999499,1.8,1.1,1.3,1.8,1.3,0.8,0.9,2.1,2.3,1.8,1.0
54,Egypt,conservative_trade,False,0.9224999999999891,0.8,1.1,1.3,0.8,1.3,1.8,0.9,0.9,1.1,1.5,0.7
55,Private,conservative_trade,False,3.273250000000014,0.6,1.4,1.5,1.0,0.6,1.4,1.1,1.4,1.2,1.0,1.4
56,Gallia,conservative_trade,False,1.1255000000000124,1.3,1.1,1.2,1.1,1.1,1.0,1.0,1.2,0.9,1.2,1.4
57,Gallia,aggressive_trade,False,3.3449999999998328,3.3,0.6,4.6,3.3,2.4,0.8,0.8,2.8,4.9,2.8,3.1
58,Gallia,conservative_trade,False,2.1492500000000385,0.6,1.3,1.2,0.6,1.1,1.1,1.2,0.8,0.9,1.0,1.6
59,Gallia,conservative_trade,False,3.070500000000015,1.1,0.5,1.2,1.3,1.0,0.9,1.1,1.5,0.8,1.2,1.6
60,Gallia,random_trade,False,2.697499999999992,1.6,1.1,1.9,1.4,1.5,0.8,1.6,2.0,1.8,0.8,2.1
61,Gallia,random_trade,False,2.517999999999998,1.9,0.4,1.6,1.4,1.7,0.9,0.8,1.3,2.2,2.6,1.8
62,Gallia,aggressive_trade,False,1.1185000000000165,2.9,1.2,3.7,1.8,3.6,1.2,0.9,3.2,5.0,3.1,3.0
63,Gallia,random_trade,False,2.130499999999979,0.8,0.9,1.9,2.3,1.5,0.7,0.6,1.0,1.6,1.7,1.9
64,Gallia,conservative_trade,False,2.8840000000000083,1.4,1.0,0.7,1.0,0.8,1.8,1.5,1.1,0.8,1.0,1.2
