Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,ItalianPottery,EgyptianPottery,AegeanPottery,WMPottery,BaeticanPottery,IberianPottery,EMPottery,TarrPottery,NAPottery,AdriaticPottery,total_pottery
45,Egypt,random_trade,False,"1,806","1,3","1,3","1,1","2,2","1,6","0,8","0,7","1,1","2,4","1,5","1,2","15,2"
46,Egypt,conservative_trade,False,"1,82325",1,"0,9","1,5","0,7","1,3",2,"1,1",1,"1,5",1,"0,6","12,6"
47,Egypt,random_trade,False,"2,80425","0,9","1,2","1,2","2,2",1,"0,9","1,1","1,5","1,7","1,5","1,4","14,6"
48,Egypt,aggressive_trade,False,"1,53925","3,1","0,5","3,6","2,1","1,9","0,7","0,7","3,8","4,2","1,5","3,9",26
49,Egypt,aggressive_trade,False,"2,43475","2,6","0,7","3,3","3,2","3,8","1,1","0,7","2,8","2,1","2,9","3,6","26,8"
50,Egypt,random_trade,False,"1,366","1,5","0,9","1,3","1,4","1,3","0,3","0,7","1,9","2,3","2,1",1,"14,7"
51,Egypt,random_trade,False,"2,09925","1,7","0,8",2,"1,4","1,9","1,1","0,9","2,2","2,3","1,2","1,3","16,8"
52,Egypt,random_trade,False,"1,46975","2,3","1,1","2,4","1,5","2,2","0,6","0,7","1,1","1,5",1,"1,6",16
53,Egypt,random_trade,False,"1,51275","1,8","1,1","1,3","1,8","1,3","0,8","0,9","2,1","2,3","1,8",1,"16,2"
54,Egypt,conservative_trade,False,"0,9225","0,8","1,1","1,3","0,8","1,3","1,8","0,9","0,9","1,1","1,5","0,7","12,2"
55,Private,conservative_trade,False,"3,27325","0,6","1,4","1,5",1,"0,6","1,4","1,1","1,4","1,2",1,"1,4","12,6"
56,Gallia,conservative_trade,False,"1,1255","1,3","1,1","1,2","1,1","1,1",1,1,"1,2","0,9","1,2","1,4","12,5"
57,Gallia,aggressive_trade,False,"3,345","3,3","0,6","4,6","3,3","2,4","0,8","0,8","2,8","4,9","2,8","3,1","29,4"
58,Gallia,conservative_trade,False,"2,14925","0,6","1,3","1,2","0,6","1,1","1,1","1,2","0,8","0,9",1,"1,6","11,4"
59,Gallia,conservative_trade,False,"3,0705","1,1","0,5","1,2","1,3",1,"0,9","1,1","1,5","0,8","1,2","1,6","12,2"
60,Gallia,random_trade,False,"2,6975","1,6","1,1","1,9","1,4","1,5","0,8","1,6",2,"1,8","0,8","2,1","16,6"
61,Gallia,random_trade,False,"2,518","1,9","0,4","1,6","1,4","1,7","0,9","0,8","1,3","2,2","2,6","1,8","16,6"
62,Gallia,aggressive_trade,False,"1,1185","2,9","1,2","3,7","1,8","3,6","1,2","0,9","3,2",5,"3,1",3,"29,6"
63,Gallia,random_trade,False,"2,1305","0,8","0,9","1,9","2,3","1,5","0,7","0,6",1,"1,6","1,7","1,9","14,9"
64,Gallia,conservative_trade,False,"2,884","1,4",1,"0,7",1,"0,8","1,8","1,5","1,1","0,8",1,"1,2","12,3"
65,Gallia,random_trade,False,"2,13525",2,"0,5",2,2,"0,9","1,1","0,8","1,1","2,2","1,4","1,8","15,8"
66,Private,random_trade,False,"1,585",1,"1,3","1,9","1,4","1,4",1,"1,2","1,8",3,"1,4","0,7","16,1"
67,Iberian Peninsula,random_trade,False,"1,127","1,8","0,6","1,3","1,8","1,8","0,2","1,4","2,3","1,4","2,1","2,2","16,9"
68,Iberian Peninsula,conservative_trade,False,"2,25475","1,4","1,8","0,7","0,9","0,9","1,1","0,9","0,7","1,7","1,2","0,8","12,1"
69,Iberian Peninsula,random_trade,False,"1,8135","1,4","0,6","2,3","1,9","1,3","1,1","0,5","1,1","2,8","1,5","1,6","16,1"
70,Iberian Peninsula,conservative_trade,False,"1,2545","1,7","0,9","0,6","1,2","0,4","0,9","0,8","0,9","1,4","1,2","1,9","11,9"
71,Iberian Peninsula,aggressive_trade,False,"4,59625","4,3","0,2","3,7","2,6","2,4","0,6","0,4","2,2","6,4","2,3","5,8","30,9"
72,Iberian Peninsula,conservative_trade,False,"3,77575","1,4","1,8","1,2","1,3","0,8","0,7","0,7","0,5","1,5","1,7",1,"12,6"
73,Iberian Peninsula,conservative_trade,False,"2,02325","1,3",1,"1,4","1,5","1,1","0,9",1,"0,6","1,2","1,4","1,9","13,3"
74,Iberian Peninsula,random_trade,False,"1,67875","1,8","0,7","2,3","1,5","0,8","0,6","0,9",2,2,"1,1","1,3",15
75,Iberian Peninsula,aggressive_trade,False,"1,39925","4,7","0,9","4,9","2,4","2,9","0,8","1,1","3,5","4,6","2,1","4,2","32,1"
76,Iberian Peninsula,conservative_trade,False,"4,0935","0,9","1,1","0,6","0,9","1,4","1,8","1,3","1,1","0,6","1,2",1,"11,9"
77,Private,conservative_trade,False,"2,0035","1,1","1,5","0,9","0,7","1,1","1,8","1,8","1,1","0,9","1,3",1,"13,2"
78,Italy,aggressive_trade,False,"1,30825","3,2",1,"3,5","3,3","3,2","0,6","0,6","2,6","5,7","2,5","3,9","30,1"
79,Italy,aggressive_trade,False,"1,89875","2,7","0,9","3,7","2,7","4,1","1,2","0,9","3,5","4,7","2,7","3,9",31
80,Italy,conservative_trade,False,"2,9465","0,9","1,1","0,8","0,7","0,7","1,7","1,6","1,1","1,3","1,1","1,4","12,4"
81,Italy,aggressive_trade,False,"2,401","4,5","0,7","3,4","3,1","3,4","1,1","0,6","3,4","5,5","2,9","4,3","32,9"
82,Italy,aggressive_trade,False,"0,9165",4,"0,9","5,3","2,6","2,8","0,7","0,7","3,4","3,7","2,7","4,3","31,1"
83,Italy,conservative_trade,False,"3,06275","1,2","1,4","1,4","1,2",1,"1,2","1,5","0,3","0,7","0,7",2,"12,6"
84,Italy,conservative_trade,False,"3,392","1,3",1,"0,9","1,2","1,1","0,7",1,"1,4","2,1","0,7","0,7","12,1"
85,Italy,conservative_trade,False,"2,3785",1,"1,2","1,1","0,9","0,9","0,9","1,4","0,8","1,2","1,4","1,3","12,1"
86,Italy,conservative_trade,False,"3,4095","1,3","1,2","1,1","0,4","1,7","1,1","2,4","0,7","0,9","0,9","0,5","12,2"
87,Italy,conservative_trade,False,"1,9375","1,7","1,5","0,9",1,"1,3","2,1","0,9","0,6","1,3","0,6",1,"12,9"
88,Private,conservative_trade,False,"3,51975","1,4","1,3","1,1","1,3","1,1","1,4","1,1","0,7","1,4","1,6","0,9","13,3"
89,North Africa,random_trade,False,"1,8755","1,3","0,8","0,9","2,3","1,2","0,8","1,1","1,6","2,6","1,2","1,5","15,3"
90,North Africa,conservative_trade,False,"2,321","0,7","1,3","1,3","0,6","1,6","1,4","1,2","1,2","0,9",1,"0,7","11,9"
91,North Africa,aggressive_trade,False,"2,4435","4,7",1,"3,4","3,3","1,6","0,5","0,5",3,"5,2","3,2","4,2","30,6"
92,North Africa,random_trade,False,"2,284","2,1","0,7","1,8","1,2","1,8","0,9",2,"1,7","1,2","1,3","2,2","16,9"
93,North Africa,aggressive_trade,False,"4,77725","3,9","0,7","4,7","3,3","2,4","0,8","0,9",4,5,3,"3,7","32,4"
94,North Africa,random_trade,False,"0,9175",2,"0,4","1,1",1,"2,2","0,8","1,5","1,7",2,"1,9","1,4",16
95,North Africa,random_trade,False,"2,07","1,9",1,"1,5","1,7","2,1","1,4","0,6","1,3",2,"1,3","1,8","16,6"
96,North Africa,aggressive_trade,False,"1,14775","5,8","0,6",6,"2,3","1,3","0,5","0,5","1,6",5,"2,6","6,1","32,3"
97,North Africa,random_trade,False,"2,379","1,4","1,1","2,8",1,"1,2","0,6","1,1","1,8","1,7","1,3","2,4","16,4"
98,North Africa,random_trade,False,"2,90875","1,4","0,7","1,7","1,3","2,3","0,9","0,8","2,2","1,8","2,1","1,4","16,6"
99,Private,random_trade,False,"3,5005","2,1","1,1","1,8","1,5","1,9","0,9",1,"1,9","1,7","2,2","1,9",18
100,Tarraconensis,aggressive_trade,False,"2,96675","4,5","1,2","5,3","2,7","2,5","0,4",1,"3,4","4,5","2,4","5,1",33
101,Tarraconensis,aggressive_trade,False,"3,99225","7,1","0,5","5,5",2,"2,7","0,5","0,6","3,1","3,7","2,7","6,6",35
