Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,GallicPottery,AdriaticPottery,IberianPottery,EMPottery,EgyptianPottery,ItalianPottery,NAPottery,WMPottery,TarrPottery,AegeanPottery,total_pottery
45,Egypt,aggressive_trade,False,"1,47425","1,1","4,8","2,3","0,4","3,5","3,3","1,2","3,4","3,2","3,4","2,2","28,8"
46,Egypt,random_trade,False,"1,36825","0,7","1,3","1,7","1,5","1,8",2,"1,2","1,9","1,4",1,"1,7","16,2"
47,Egypt,aggressive_trade,False,"2,0895","0,7","4,3","4,1","0,8","2,1","3,2","0,7","2,8","3,2","5,2","3,1","30,2"
48,Egypt,random_trade,False,"1,42525","1,4","0,9","2,3","1,3","0,7",2,"0,8","1,3","1,8","1,6","1,4","15,5"
49,Egypt,conservative_trade,False,"3,02325","1,5",1,"1,3","1,3","0,8","0,7","1,7",1,"1,1","0,6","1,3","12,3"
50,Egypt,conservative_trade,False,"3,8405","0,9","0,6","1,1","1,1","1,6","0,8","1,3","1,2","1,5","0,8","1,6","12,5"
51,Egypt,conservative_trade,False,"2,4255","1,6","0,8","1,5","1,5","1,1","0,9","0,8",1,"0,7","1,6","0,6","12,1"
52,Egypt,conservative_trade,False,"1,6425","1,3",1,"1,1","0,6","0,7","1,2","1,6",1,"1,3","1,2","1,1","12,1"
53,Egypt,aggressive_trade,False,"3,3765","0,7","3,2","2,8","1,2","2,7","3,2","1,4","2,4","3,5","3,7","3,9","28,7"
54,Egypt,random_trade,False,"1,10225","0,3","0,8","2,1",1,"1,3","1,3","1,2","1,5","1,3","2,4","1,8",15
55,Private,random_trade,False,"1,3435","0,6","2,7","1,1","1,3","2,4","2,5","1,1","1,3","1,1","1,6","1,4","17,1"
56,Gallia,conservative_trade,False,"1,8155","0,9","1,4","1,1","1,1","1,3","0,9","1,1",1,"1,4",1,"0,8",12
57,Gallia,conservative_trade,False,"2,181","1,8",1,"1,2",1,"0,8","1,2","0,8","1,1",1,"0,9","1,2",12
58,Gallia,conservative_trade,False,"1,61675","1,5","0,8",1,"1,7","1,3","1,4","0,7","0,5","0,7","0,9","1,3","11,8"
59,Gallia,conservative_trade,False,"1,9095",2,"0,8","0,9","0,9","0,9","1,6","1,2","1,1","1,2","0,7","1,5","12,8"
60,Gallia,aggressive_trade,False,"2,2235","1,1","3,8","3,1","0,6","2,7","4,1","1,3","3,9","2,9","6,4","3,2","33,1"
61,Gallia,conservative_trade,False,"1,829","0,9","1,2","1,4","1,7","1,3","0,5","1,6","0,4","1,2","0,6","1,3","12,1"
62,Gallia,conservative_trade,False,"4,3715","0,8","0,9","1,4","1,2","1,3","0,8","1,6","1,3",1,"1,2","1,2","12,7"
63,Gallia,random_trade,False,"1,50775",1,"1,6","2,8","0,9","1,1",2,"0,8","1,1","1,6","1,4","1,1","15,4"
64,Gallia,aggressive_trade,False,"2,636","0,7","5,5","4,9","0,9","2,4","5,2","0,3","1,9","2,2","5,8","1,8","31,6"
65,Gallia,conservative_trade,False,"1,36275","1,4","0,8","1,2","0,7","0,7","1,5","1,8",1,1,1,1,"12,1"
66,Private,conservative_trade,False,"1,6815","0,9","1,3","1,9","1,3","0,8","1,2","1,7","1,3","0,9","0,5","1,5","13,3"
67,Iberian Peninsula,random_trade,False,"3,15775",1,"1,6","1,9","0,4",2,"1,6","0,5","1,3","2,3","1,5","1,6","15,7"
68,Iberian Peninsula,random_trade,False,"1,99575","0,6","1,8","1,4","1,1","1,8","2,1","0,7","1,6","1,3","1,8","1,2","15,4"
69,Iberian Peninsula,conservative_trade,False,"2,51325",1,"1,4","1,5","0,8","0,6","0,8","1,3","1,1","1,2",1,"0,9","11,6"
70,Iberian Peninsula,aggressive_trade,False,"2,63925","0,6","4,1","5,5","0,7","3,1","4,2","0,6","3,3","2,4","3,4","2,9","30,8"
71,Iberian Peninsula,aggressive_trade,False,"3,365","0,8","4,7","5,2","0,6","2,9","4,4","1,1","3,1","3,3","5,5","2,4",34
72,Iberian Peninsula,random_trade,False,"1,9275","1,4","1,9","1,6","0,6","1,3","1,7",1,"1,5","1,2","1,4","1,8","15,4"
73,Iberian Peninsula,conservative_trade,False,"1,11325",1,"0,9","1,4","1,6","0,9","1,2","0,7","1,6","0,8","1,1",1,"12,2"
74,Iberian Peninsula,random_trade,False,"1,3265","1,1","2,4","1,9","0,7","1,6","1,6","0,7","1,5","1,6","2,2",1,"16,3"
75,Iberian Peninsula,random_trade,False,"2,1605","0,9",1,"2,2",1,"2,1","1,9","0,4","1,8",1,"2,4","2,1","16,8"
76,Iberian Peninsula,conservative_trade,False,"1,73","0,9","0,7",1,"1,6","0,9","1,6","0,9","0,7","1,1","0,9","1,4","11,7"
77,Private,conservative_trade,False,"2,21275","1,5","1,5","1,6","1,7","1,3","1,1","1,1","1,2","0,8","0,5","1,2","13,5"
78,Italy,conservative_trade,False,"1,19425","1,7","0,9","1,1",1,"0,9","1,6","1,2","1,1","0,5","0,8","1,3","12,1"
79,Italy,conservative_trade,False,"1,6385",1,"1,6","1,3",1,"1,2","0,8","0,9","1,2","1,2","1,4",1,"12,6"
80,Italy,random_trade,False,"3,11675","0,8","1,7","1,7","0,7","1,7","1,4","0,8","1,6","2,6","1,6","1,7","16,3"
81,Italy,aggressive_trade,False,"1,527","0,9","4,3","4,3","0,8","3,5","3,5","0,6","4,1","1,8","5,4","2,3","31,5"
82,Italy,random_trade,False,"1,7925","0,7","2,3","1,8",1,1,"2,1","0,7","1,6","1,2","1,7","2,2","16,3"
83,Italy,random_trade,False,"3,371","1,1",2,"1,3","1,5",2,2,"0,6","1,5",2,"2,2","1,3","17,5"
84,Italy,aggressive_trade,False,"1,72375","0,2","5,5","4,8","0,1","3,5","5,3","0,7","2,7","3,5","5,6","3,4","35,3"
85,Italy,aggressive_trade,False,"2,1635","0,8","5,4","5,4","0,6","3,7","4,9","0,2","4,2","3,4","4,2","3,5","36,3"
86,Italy,conservative_trade,False,"2,6935","1,1","1,2","1,2","0,9","0,8","2,1","0,2","1,5","0,9","1,4",1,"12,3"
87,Italy,conservative_trade,False,"3,0455","1,5","0,9","1,1","1,4","0,8","1,1","1,1","1,1","1,2","1,1","1,3","12,6"
88,Private,conservative_trade,False,"1,93025","1,4","1,3","1,2","1,4","1,4","1,7","1,1","1,4","1,3","1,2","0,5","13,9"
