Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,IberianPottery,TarrPottery,AegeanPottery,WMPottery,ItalianPottery,EMPottery,EgyptianPottery,NAPottery,BaeticanPottery,AdriaticPottery,GallicPottery
45,Egypt,aggressive_trade,False,2.7892500000000164,0.7,3.5,2.3,2.7,1.3,3.0,3.2,2.6,0.6,1.8,3.6
46,Egypt,aggressive_trade,False,3.193999999999936,0.9,4.1,3.1,4.5,1.5,2.7,2.1,2.9,0.7,2.7,2.3
47,Egypt,random_trade,False,1.4462499999999971,1.4,1.0,1.4,1.6,0.5,1.4,1.7,1.5,1.2,1.3,1.1
48,Egypt,random_trade,False,1.7244999999999469,0.6,1.6,1.7,1.3,0.6,1.2,1.7,2.3,1.1,1.8,1.1
49,Egypt,random_trade,False,2.0787499999999968,1.0,1.7,1.2,1.4,0.8,1.4,1.8,1.3,1.2,1.7,1.6
50,Egypt,aggressive_trade,False,0.9920000000000888,0.6,2.4,2.1,3.6,0.9,2.9,2.4,2.5,0.9,3.5,3.0
51,Egypt,random_trade,False,3.380500000000088,1.4,0.9,1.9,2.0,0.5,1.5,1.5,2.4,1.0,1.4,1.4
52,Egypt,aggressive_trade,False,1.174249999999907,0.8,3.9,2.4,2.7,0.6,2.9,3.6,2.4,0.5,4.4,3.5
53,Egypt,aggressive_trade,False,1.6534999999998319,1.0,3.8,3.2,1.8,1.2,3.0,2.7,2.0,0.7,2.5,3.4
54,Egypt,aggressive_trade,False,1.2082500000001566,2.1,3.9,2.6,3.9,0.8,2.2,3.2,2.1,0.7,2.2,4.3
55,State,aggressive_trade,False,0.6100000000000391,0.3,5.0,2.7,3.2,0.7,2.5,3.5,3.2,0.5,5.6,3.6
56,Gallia,aggressive_trade,False,2.8084999999998486,1.1,4.6,3.3,3.2,0.6,3.0,2.0,2.8,0.5,2.6,3.8
57,Gallia,conservative_trade,False,3.443500000000012,0.9,0.9,1.1,0.6,1.8,1.3,0.7,1.2,0.8,1.5,1.2
58,Gallia,aggressive_trade,False,2.6927500000000157,1.1,3.6,4.1,3.2,1.0,2.8,2.8,2.5,0.9,2.6,2.2
59,Gallia,conservative_trade,False,4.226250000000001,2.2,1.0,0.5,0.9,1.2,1.2,0.6,1.8,1.2,1.0,1.0
60,Gallia,aggressive_trade,False,1.834750000000089,0.6,5.4,2.2,2.1,0.7,3.5,3.8,3.6,0.5,5.3,4.5
61,Gallia,random_trade,False,3.063249999999973,0.9,2.5,2.0,1.6,0.8,1.5,2.0,1.6,0.3,1.5,1.2
62,Gallia,random_trade,False,2.0932499999999465,1.2,1.9,1.4,1.0,0.8,1.1,1.2,1.5,0.9,1.4,1.7
63,Gallia,conservative_trade,False,2.1259999999999724,1.1,1.7,0.8,0.9,1.1,0.8,1.3,1.2,1.4,0.9,1.0
64,Gallia,aggressive_trade,False,0.9782500000000061,0.5,5.3,2.5,2.9,0.9,3.1,3.7,2.0,0.9,5.3,2.4
65,Gallia,aggressive_trade,False,1.4342500000002687,0.8,6.9,3.1,2.7,0.6,2.0,4.2,2.9,0.1,3.8,3.9
66,State,aggressive_trade,False,1.1899999999994488,0.4,5.5,2.4,2.4,0.2,2.2,5.9,2.6,0.2,5.9,5.6
67,Iberian Peninsula,conservative_trade,False,1.8790000000000149,1.1,0.8,1.4,0.7,1.6,0.3,1.0,1.0,1.6,1.2,1.2
68,Iberian Peninsula,conservative_trade,False,2.301999999999958,1.6,1.2,1.8,1.1,0.6,0.6,1.4,0.5,1.6,1.1,1.2
69,Iberian Peninsula,aggressive_trade,False,3.362249999999954,1.6,3.7,4.2,3.4,0.7,3.3,3.1,3.2,1.0,2.2,3.2
70,Iberian Peninsula,random_trade,False,1.6864999999999433,0.9,2.1,1.2,2.1,1.0,1.5,1.3,1.4,0.5,2.3,1.7
71,Iberian Peninsula,aggressive_trade,False,2.433249999999796,0.7,3.8,1.9,2.5,0.8,2.4,4.5,2.3,0.6,3.6,4.4
72,Iberian Peninsula,conservative_trade,False,2.8797499999999783,1.5,1.6,0.6,0.8,0.9,0.6,1.6,1.2,1.2,0.7,1.4
73,Iberian Peninsula,conservative_trade,False,3.271499999999996,1.0,1.5,1.4,0.9,1.1,0.9,1.1,0.8,1.4,1.1,1.0
74,Iberian Peninsula,conservative_trade,False,2.693999999999973,0.9,1.4,0.9,1.4,0.7,1.1,1.6,0.8,1.3,0.8,1.0
75,Iberian Peninsula,conservative_trade,False,1.876499999999964,0.7,1.5,0.4,1.5,1.1,0.8,0.8,1.2,1.5,1.2,1.3
76,Iberian Peninsula,random_trade,False,2.0607499999999956,1.4,1.7,1.8,2.2,0.9,1.5,1.0,2.1,1.0,1.4,2.1
77,State,random_trade,False,2.099999999999972,0.5,2.2,1.6,1.6,0.9,2.6,1.5,1.5,1.3,1.7,1.9
78,Italy,aggressive_trade,False,0.9214999999999632,0.6,4.6,2.4,2.7,0.9,2.3,4.5,3.0,1.0,4.3,4.0
79,Italy,aggressive_trade,False,2.1529999999999467,0.4,5.4,2.8,2.0,0.6,1.9,6.2,1.7,0.7,5.4,5.0
80,Italy,aggressive_trade,False,1.7042499999995981,0.8,4.6,3.8,2.1,0.4,2.9,5.2,2.1,0.6,5.7,4.7
