Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,EgyptianPottery,IberianPottery,EMPottery,ItalianPottery,AegeanPottery,BaeticanPottery,AdriaticPottery,NAPottery,WMPottery,TarrPottery
29,Baetica,random_trade,False,0.0,3.5,2.6,2.9,2.9,4.1,3.3,2.7,2.3,2.7,3.7,3.6
30,Baetica,conservative_trade,False,0.0,2.0,0.6,1.4,1.4,1.6,1.7,1.0,2.2,2.0,1.4,1.1
31,Eastern Mediterranean,aggressive_trade,False,0.0,9.0,8.166666666666666,7.5,8.666666666666666,9.333333333333334,9.0,7.5,7.666666666666667,8.166666666666666,7.166666666666667,7.166666666666667
31,Eastern Mediterranean,aggressive_trade,True,2008.75,10.75,8.5,8.5,8.0,10.0,10.0,9.5,6.5,7.25,10.25,11.25
32,Eastern Mediterranean,aggressive_trade,False,0.0,7.25,8.5,4.5,7.75,10.0,9.0,8.25,9.25,8.25,6.0,11.25
32,Eastern Mediterranean,aggressive_trade,True,1794.0,10.5,6.666666666666667,8.166666666666666,9.833333333333334,13.166666666666666,7.833333333333333,10.0,10.333333333333334,7.166666666666667,8.833333333333334,7.0
33,Eastern Mediterranean,random_trade,False,0.0,2.6,3.9,2.5,3.1,3.3,4.0,3.1,2.7,3.3,3.2,3.0
34,Eastern Mediterranean,aggressive_trade,False,0.0,8.571428571428571,8.857142857142858,6.142857142857143,6.428571428571429,8.571428571428571,9.285714285714286,7.142857142857143,8.0,8.142857142857142,6.571428571428571,4.571428571428571
34,Eastern Mediterranean,aggressive_trade,True,1815.0,10.666666666666666,9.666666666666666,7.666666666666667,8.333333333333334,8.0,9.0,9.333333333333334,10.333333333333334,8.666666666666666,8.333333333333334,8.666666666666666
35,Eastern Mediterranean,conservative_trade,False,0.0,1.4,1.2,1.7,1.5,1.8,1.8,1.1,1.7,2.1,2.4,1.2
36,Eastern Mediterranean,conservative_trade,False,0.0,1.2,1.6,1.3,1.6,1.3,1.6,2.0,1.5,1.4,1.8,1.7
37,Eastern Mediterranean,aggressive_trade,False,0.0,7.75,7.25,6.75,8.75,7.25,6.75,7.25,8.75,9.0,6.75,8.75
