Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AdriaticPottery,AegeanPottery,NAPottery,GallicPottery,EgyptianPottery,BaeticanPottery,TarrPottery,IberianPottery,ItalianPottery,EMPottery
81,North Africa,aggressive_trade,True,2014.0839999999996,6.0,7.9,6.9,6.1,7.1,6.9,6.7,7.3,7.4,8.4
82,North Africa,aggressive_trade,True,2993.328999999999,6.8,7.0,6.8,6.7,6.9,7.0,8.9,7.2,8.0,7.8
83,North Africa,random_trade,False,0.40950000000009396,3.0,3.4,3.4,3.1,2.5,3.4,2.9,3.1,3.5,3.3
84,North Africa,aggressive_trade,True,2831.897249999999,8.1,7.4,6.6,8.3,6.5,7.9,7.0,7.4,7.5,6.6
85,North Africa,aggressive_trade,True,2324.7922499999986,5.9,8.6,7.8,6.9,6.8,8.1,8.3,6.8,7.7,6.6
86,North Africa,aggressive_trade,True,3016.5579999999977,9.1,6.9,5.9,8.8,7.4,5.8,6.3,9.6,7.3,7.3
87,North Africa,conservative_trade,False,0.193250000000022,1.8,1.0,1.3,2.3,1.9,2.2,1.6,1.7,1.8,2.1
88,North Africa,conservative_trade,False,0.17175000000001828,2.7,2.0,1.6,1.8,1.9,1.4,1.9,1.5,1.8,0.7
89,North Africa,conservative_trade,False,0.11399999999997841,1.8,3.0,0.7,2.3,1.7,1.1,2.0,1.7,1.6,1.8
90,North Africa,random_trade,False,0.29050000000000664,3.5,2.5,3.8,4.9,2.5,3.8,3.9,3.9,3.3,2.7
91,Tarraconensis,random_trade,False,0.3512500000000736,3.1,4.6,4.6,2.9,2.7,3.7,3.6,3.6,3.8,2.0
92,Tarraconensis,aggressive_trade,True,2184.1089999999995,7.6,7.0,6.2,8.6,6.7,6.6,9.1,8.2,6.1,7.6
93,Tarraconensis,conservative_trade,False,0.20100000000001286,2.3,2.4,1.5,1.6,2.2,1.2,1.2,2.2,2.2,2.3
94,Tarraconensis,random_trade,False,0.19125000000001505,3.7,4.3,4.5,3.3,2.8,3.0,3.4,4.3,3.0,4.4
95,Tarraconensis,random_trade,False,0.3835000000000101,3.8,3.0,3.4,4.2,4.1,3.5,3.1,3.3,3.9,3.8
96,Tarraconensis,random_trade,False,0.42000000000003174,3.7,3.7,4.0,4.3,4.2,4.2,3.1,4.5,2.8,4.8
97,Tarraconensis,conservative_trade,False,0.14425000000000837,2.5,2.3,1.7,2.2,1.7,2.6,1.5,1.6,1.7,1.0
98,Tarraconensis,conservative_trade,False,0.20949999999999652,2.3,1.5,1.9,1.7,1.6,1.6,1.8,2.2,2.6,1.6
99,Tarraconensis,conservative_trade,False,0.18625000000000355,1.4,1.8,1.7,2.8,1.0,1.6,1.5,2.3,2.8,1.9
100,Tarraconensis,random_trade,False,0.2985000000000434,3.9,3.8,3.9,4.6,3.8,3.2,3.6,3.2,3.8,3.2
