Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AegeanPottery,GallicPottery,EgyptianPottery,TarrPottery,ItalianPottery,EMPottery,IberianPottery,AdriaticPottery,NAPottery,WMPottery,BaeticanPottery
25,Baetica,random_trade,False,-0.7100000000008402,3.5,4.1,3.9,3.5,0.2,3.8,4.3,4.1,4.8,3.9,3.5
26,Baetica,conservative_trade,False,-0.8400000000006147,1.7,1.8,1.3,1.8,0.0,1.7,1.6,1.3,3.3,1.6,2.4
27,Baetica,conservative_trade,False,-0.6800000000006655,1.5,2.2,2.1,2.4,0.3,1.9,1.4,1.6,3.3,2.0,1.6
28,Baetica,aggressive_trade,False,-0.8750000000266281,8.5,11.25,12.75,8.75,2.75,11.0,10.75,11.5,19.5,8.5,9.25
28,Baetica,aggressive_trade,True,2617.9166666667898,10.833333333333334,11.333333333333334,10.0,9.5,0.16666666666666666,14.0,11.333333333333334,10.333333333333334,36.833333333333336,13.166666666666666,10.666666666666666
29,Baetica,aggressive_trade,False,-0.933333333326166,9.0,11.333333333333334,8.666666666666666,10.333333333333334,2.6666666666666665,14.0,11.333333333333334,17.0,16.0,9.333333333333334,14.0
29,Baetica,aggressive_trade,True,1483.8571428571152,13.428571428571429,12.285714285714286,13.285714285714286,11.857142857142858,1.4285714285714286,13.857142857142858,12.714285714285714,14.142857142857142,19.428571428571427,14.714285714285714,11.571428571428571
30,Baetica,random_trade,False,-0.6000000000007114,4.4,3.5,2.8,3.5,0.8,3.5,3.8,3.4,4.4,3.7,3.7
31,Eastern Mediterranean,aggressive_trade,False,-0.6999999999839985,13.0,11.0,12.5,10.5,4.5,13.0,10.5,16.0,8.0,16.0,11.0
31,Eastern Mediterranean,aggressive_trade,True,2767.125000000048,13.25,14.375,10.0,10.375,0.625,11.25,9.5,9.875,37.625,9.875,12.25
32,Eastern Mediterranean,random_trade,False,-0.6300000000006083,3.5,4.8,4.0,3.9,0.6,2.8,2.5,3.2,5.3,3.5,4.2
33,Eastern Mediterranean,aggressive_trade,False,-0.9250000000320615,12.0,10.25,7.75,9.0,5.5,8.5,11.5,10.5,6.25,10.5,7.25
33,Eastern Mediterranean,aggressive_trade,True,1970.0833333333612,12.166666666666666,13.166666666666666,12.166666666666666,12.166666666666666,1.6666666666666667,10.833333333333334,12.0,13.333333333333334,24.833333333333332,12.5,13.166666666666666
34,Eastern Mediterranean,random_trade,False,-0.7400000000007716,4.2,4.2,3.9,3.8,0.3,2.7,4.1,2.7,4.4,3.4,3.7
35,Eastern Mediterranean,conservative_trade,False,-0.5000000000007869,1.8,1.1,1.1,1.8,0.7,1.7,1.3,1.7,4.2,1.3,1.9
36,Eastern Mediterranean,conservative_trade,False,-0.6800000000007063,1.5,0.9,1.3,1.7,0.1,1.6,1.5,1.9,4.1,1.5,1.5
37,Eastern Mediterranean,random_trade,False,-0.6100000000008227,2.7,2.6,4.1,3.0,0.7,4.5,2.3,2.9,4.1,4.1,3.0
38,Eastern Mediterranean,aggressive_trade,False,-0.6714285714663087,12.142857142857142,9.857142857142858,14.142857142857142,13.428571428571429,3.2857142857142856,12.857142857142858,13.285714285714286,10.0,8.857142857142858,11.0,10.0
38,Eastern Mediterranean,aggressive_trade,True,1831.5333333332899,10.666666666666666,15.333333333333334,7.333333333333333,15.0,3.6666666666666665,13.0,14.0,11.666666666666666,20.333333333333332,13.0,13.0
39,Eastern Mediterranean,random_trade,False,-0.4700000000008865,4.9,3.7,2.6,4.0,0.4,3.6,3.0,4.8,2.8,3.8,3.6
40,Eastern Mediterranean,aggressive_trade,False,-0.866666666688087,6.666666666666667,10.666666666666666,6.666666666666667,10.0,4.0,9.0,9.333333333333334,11.0,10.0,8.666666666666666,10.333333333333334
40,Eastern Mediterranean,aggressive_trade,True,1033.1714285713774,13.571428571428571,13.142857142857142,14.285714285714286,15.571428571428571,1.2857142857142858,15.0,13.142857142857142,12.0,16.571428571428573,11.714285714285714,11.571428571428571
41,Egypt,random_trade,False,-0.5100000000009006,3.4,4.3,4.4,3.4,0.8,5.5,3.8,3.0,3.2,3.5,3.5
42,Egypt,random_trade,False,-0.530000000000852,3.2,3.8,4.3,3.4,1.3,3.4,3.4,3.3,5.4,4.6,2.9
43,Egypt,aggressive_trade,False,-0.8333333333586372,11.5,12.166666666666666,12.666666666666666,12.5,1.3333333333333333,11.166666666666666,11.0,12.833333333333334,13.5,11.666666666666666,10.0
43,Egypt,aggressive_trade,True,2319.2500000001532,12.5,9.5,13.75,10.25,2.0,14.0,13.75,14.0,18.0,15.25,12.25
44,Egypt,aggressive_trade,False,-0.6500000000448931,12.75,10.0,10.75,10.25,3.75,11.75,12.5,9.25,14.5,12.0,11.0
44,Egypt,aggressive_trade,True,1476.7666666667299,14.833333333333334,11.5,14.833333333333334,11.5,0.8333333333333334,13.333333333333334,12.0,12.5,19.0,12.5,14.333333333333334
45,Egypt,conservative_trade,False,-0.7000000000006936,1.8,1.3,2.2,1.6,0.1,1.3,1.8,1.8,3.3,2.1,0.9
46,Egypt,random_trade,False,-0.6800000000006572,3.1,2.8,4.1,3.9,1.2,2.9,3.5,4.1,4.7,4.4,3.9
47,Egypt,random_trade,False,-0.6800000000009414,3.8,3.9,4.1,2.6,0.4,4.7,3.4,3.1,3.1,3.1,3.1
48,Egypt,aggressive_trade,False,-0.8600000000050303,12.2,12.4,8.2,7.6,2.8,8.2,10.2,12.2,13.6,10.4,7.6
48,Egypt,aggressive_trade,True,684.6999999999587,13.0,8.2,11.4,13.2,0.6,10.8,11.2,10.8,31.8,12.2,12.8
49,Egypt,conservative_trade,False,-0.6200000000006366,1.9,1.8,1.6,1.6,0.1,1.3,1.9,1.6,3.5,2.4,1.0
50,Egypt,conservative_trade,False,-0.5600000000005766,2.0,1.8,1.5,1.3,0.3,1.5,1.5,1.9,3.7,1.7,1.5
51,Gallia,conservative_trade,False,-0.7700000000007166,1.8,1.8,2.0,2.0,0.2,1.7,1.4,2.9,3.6,0.7,1.2
52,Gallia,conservative_trade,False,-0.6900000000006971,1.1,1.5,2.0,2.0,0.4,1.8,1.2,2.1,3.4,1.8,1.3
53,Gallia,random_trade,False,-0.5900000000011045,3.6,4.2,3.4,3.5,0.7,4.5,3.4,3.2,3.4,3.2,3.6
54,Gallia,random_trade,False,-0.5300000000009367,2.8,3.5,4.1,3.5,0.4,3.2,2.9,3.8,4.3,2.9,4.5
55,Gallia,aggressive_trade,False,-0.6333333333997481,9.666666666666666,13.333333333333334,13.0,14.0,3.0,11.666666666666666,13.333333333333334,9.666666666666666,8.0,8.0,10.0
55,Gallia,aggressive_trade,True,1569.8285714286283,13.714285714285714,14.142857142857142,14.428571428571429,9.857142857142858,1.1428571428571428,10.285714285714286,13.0,11.142857142857142,28.142857142857142,11.857142857142858,11.571428571428571
56,Gallia,random_trade,False,-0.6400000000009551,3.0,3.6,2.6,3.0,0.9,2.8,4.2,3.5,4.2,3.6,3.8
57,Gallia,conservative_trade,False,-0.800000000000647,1.4,1.6,1.3,2.0,0.2,1.1,2.6,1.5,3.0,1.6,2.5
58,Gallia,aggressive_trade,False,-0.7499999999937069,12.5,7.5,12.5,11.5,3.0,11.5,12.5,10.5,12.0,11.0,13.5
58,Gallia,aggressive_trade,True,4513.325000000144,11.875,13.0,11.25,13.0,1.375,12.5,11.0,13.0,29.875,10.875,10.625
59,Gallia,random_trade,False,-0.6300000000007778,4.7,2.9,4.2,4.1,0.4,3.9,4.1,3.8,4.4,4.1,4.6
60,Gallia,conservative_trade,False,-0.7700000000007308,2.5,1.2,1.6,2.5,0.2,1.6,2.2,1.6,2.7,1.9,1.2
61,Italy,random_trade,False,-0.700000000001048,3.3,4.1,2.8,3.6,1.0,3.7,3.5,4.0,5.2,3.7,3.6
62,Italy,conservative_trade,False,-0.670000000000767,2.2,0.9,1.8,1.9,0.0,2.1,1.3,2.3,3.4,1.5,1.7
63,Italy,conservative_trade,False,-0.7900000000008951,1.6,1.1,1.6,1.8,0.4,1.8,2.1,1.5,2.6,2.5,1.8
64,Italy,aggressive_trade,False,-0.7500000000190595,9.0,11.0,12.0,12.0,2.0,13.0,16.0,12.0,7.0,9.5,7.5
64,Italy,aggressive_trade,True,3614.100000000143,14.125,13.875,12.0,12.625,1.625,14.0,10.75,12.375,22.875,11.5,13.0
65,Italy,random_trade,False,-0.780000000000973,3.5,3.2,3.1,5.1,0.9,3.4,3.3,3.2,5.0,3.7,3.9
66,Italy,aggressive_trade,False,-0.5500000000160661,8.5,11.5,8.0,9.0,3.5,10.0,8.5,10.5,10.0,13.5,12.0
66,Italy,aggressive_trade,True,3533.0375000001222,14.625,13.875,14.5,11.125,1.625,12.75,13.625,12.625,17.5,14.875,11.0
67,Italy,conservative_trade,False,-0.6800000000008702,1.6,1.4,2.2,1.9,0.0,1.9,2.0,1.6,4.0,1.9,1.5
68,Italy,conservative_trade,False,-0.7300000000009199,1.5,1.9,0.7,1.7,0.1,1.4,1.9,1.7,4.6,1.8,2.0
69,Italy,conservative_trade,False,-0.7700000000009751,1.5,1.6,1.5,1.0,0.2,1.7,2.2,1.3,4.1,1.7,2.5
70,Italy,aggressive_trade,False,-0.8166666666662251,11.5,11.666666666666666,10.0,11.666666666666666,2.5,11.333333333333334,11.333333333333334,11.666666666666666,11.833333333333334,9.0,8.5
70,Italy,aggressive_trade,True,1026.0999999999685,12.0,10.0,11.0,11.0,0.25,11.0,12.0,10.75,40.25,12.25,8.5
71,Iberian Peninsula,conservative_trade,False,-0.6100000000005682,0.8,1.6,2.0,1.3,0.0,1.5,1.3,2.4,4.1,2.2,1.3
72,Iberian Peninsula,aggressive_trade,False,-0.9000000000073016,16.0,10.5,7.5,11.0,2.5,9.5,15.5,15.5,14.0,16.0,13.5
72,Iberian Peninsula,aggressive_trade,True,2353.2249999999935,11.75,13.375,11.125,14.375,1.25,13.625,13.375,12.125,22.5,14.75,11.375
73,Iberian Peninsula,aggressive_trade,False,-0.6000000000496454,11.5,13.25,13.5,10.25,2.5,10.0,10.5,8.0,10.75,13.5,11.0
73,Iberian Peninsula,aggressive_trade,True,4719.550000000146,12.333333333333334,11.5,13.166666666666666,12.833333333333334,1.1666666666666667,13.5,9.333333333333334,12.5,21.5,13.666666666666666,15.833333333333334
74,Iberian Peninsula,conservative_trade,False,-0.45000000000082985,2.0,1.5,1.5,1.5,0.4,1.9,1.9,1.4,3.0,1.8,1.4
75,Iberian Peninsula,conservative_trade,False,-0.7400000000007443,1.5,2.0,1.7,1.4,0.1,1.7,2.1,1.0,3.6,1.3,1.6
76,Iberian Peninsula,conservative_trade,False,-0.7400000000005763,1.5,1.6,1.4,2.0,0.0,1.9,2.1,0.8,4.1,1.9,1.6
77,Iberian Peninsula,conservative_trade,False,-0.5900000000006372,1.5,1.0,1.6,1.7,0.1,2.5,1.4,2.1,4.7,1.1,1.5
78,Iberian Peninsula,aggressive_trade,False,-0.5857142857184837,10.857142857142858,11.285714285714286,11.142857142857142,10.0,2.4285714285714284,8.857142857142858,12.714285714285714,10.857142857142858,10.714285714285714,10.714285714285714,12.714285714285714
78,Iberian Peninsula,aggressive_trade,True,3645.1333333333187,10.666666666666666,16.0,13.0,13.0,2.0,11.666666666666666,10.666666666666666,13.666666666666666,19.666666666666668,14.666666666666666,13.0
79,Iberian Peninsula,random_trade,False,-0.5800000000009116,3.8,3.7,4.3,3.0,1.2,3.2,3.5,3.8,5.1,3.3,3.4
80,Iberian Peninsula,random_trade,False,-0.6000000000008411,3.0,3.5,3.5,3.8,0.6,4.2,2.6,4.3,4.3,3.5,3.6
81,North Africa,random_trade,False,-0.5500000000005449,1.2,3.5,4.3,3.7,0.4,4.4,3.5,3.0,3.8,4.1,3.8
82,North Africa,aggressive_trade,False,-0.15000000002174238,12.333333333333334,12.166666666666666,8.833333333333334,9.166666666666666,3.8333333333333335,10.833333333333334,10.833333333333334,9.833333333333334,7.5,9.333333333333334,12.166666666666666
82,North Africa,aggressive_trade,True,1818.9500000000187,13.75,11.5,14.5,10.75,0.75,11.5,12.0,11.0,22.25,13.75,12.25
83,North Africa,conservative_trade,False,-0.7600000000006629,0.9,2.3,1.5,2.2,0.0,1.4,2.0,1.7,4.1,1.1,1.9
84,North Africa,conservative_trade,False,-0.7500000000005503,1.8,1.5,1.9,2.2,0.0,0.9,1.1,1.5,3.3,1.6,2.1
85,North Africa,aggressive_trade,True,1859.1100000000067,12.1,12.9,13.7,11.9,0.8,13.0,13.5,13.1,23.3,12.9,11.1
86,North Africa,aggressive_trade,False,-0.5800000000152136,11.0,12.2,11.2,10.8,3.2,8.6,10.6,10.2,11.6,11.6,10.2
86,North Africa,aggressive_trade,True,3492.860000000026,11.4,12.2,9.4,14.2,0.8,11.0,14.6,9.6,26.2,15.8,11.2
87,North Africa,aggressive_trade,False,-0.8500000000089258,9.5,12.25,10.25,9.75,1.5,7.25,12.5,6.75,8.75,8.0,9.75
87,North Africa,aggressive_trade,True,1788.6333333333378,12.333333333333334,12.166666666666666,11.666666666666666,13.333333333333334,1.1666666666666667,13.0,13.166666666666666,12.0,22.0,11.5,14.333333333333334
88,North Africa,conservative_trade,False,-0.6100000000006227,1.3,1.9,2.0,2.9,0.0,1.9,1.2,1.4,3.8,1.1,1.7
89,North Africa,random_trade,False,-0.6400000000006354,3.2,3.2,3.6,2.8,0.7,3.0,3.2,4.2,4.6,3.2,3.5
90,North Africa,conservative_trade,False,-0.7700000000005974,2.0,1.7,2.5,1.9,0.0,2.4,2.0,1.6,2.9,1.8,1.2
91,Tarraconensis,conservative_trade,False,-0.610000000000644,1.6,1.4,1.7,1.3,0.0,1.9,1.0,2.1,4.6,1.5,1.6
92,Tarraconensis,conservative_trade,False,-0.8100000000006838,1.3,1.8,2.6,1.7,0.0,0.8,1.6,1.7,4.1,1.8,1.7
93,Tarraconensis,random_trade,False,-0.5400000000008613,4.6,3.5,4.0,3.1,0.6,3.7,4.2,3.2,4.0,3.8,4.7
94,Tarraconensis,aggressive_trade,False,-0.7875000000256988,10.0,11.125,9.625,13.75,2.0,8.625,10.125,10.125,10.875,10.25,12.125
94,Tarraconensis,aggressive_trade,True,862.7499999999187,13.0,11.0,9.5,19.5,1.0,12.5,12.0,12.5,25.0,13.0,9.0
95,Tarraconensis,aggressive_trade,False,-0.7000000000350103,8.666666666666666,10.333333333333334,11.0,12.666666666666666,1.6666666666666667,10.333333333333334,12.0,15.0,7.666666666666667,13.333333333333334,13.0
95,Tarraconensis,aggressive_trade,True,1523.6285714285102,12.0,15.857142857142858,13.714285714285714,15.285714285714286,0.8571428571428571,11.142857142857142,11.857142857142858,11.285714285714286,19.285714285714285,12.857142857142858,14.0
96,Tarraconensis,aggressive_trade,False,-0.5000000000263564,11.333333333333334,11.333333333333334,10.666666666666666,11.666666666666666,5.0,12.666666666666666,11.0,11.666666666666666,7.333333333333333,11.666666666666666,7.333333333333333
96,Tarraconensis,aggressive_trade,True,1487.3428571428956,11.428571428571429,10.714285714285714,12.142857142857142,13.142857142857142,1.5714285714285714,13.428571428571429,13.714285714285714,11.428571428571429,22.285714285714285,12.142857142857142,13.142857142857142
97,Tarraconensis,aggressive_trade,False,-0.6000000000632593,9.0,14.0,16.333333333333332,15.0,3.3333333333333335,10.333333333333334,9.666666666666666,15.0,8.0,10.666666666666666,11.333333333333334
97,Tarraconensis,aggressive_trade,True,4605.771428571562,11.142857142857142,12.714285714285714,14.0,13.285714285714286,0.8571428571428571,14.142857142857142,13.285714285714286,14.714285714285714,20.285714285714285,14.0,13.428571428571429
98,Tarraconensis,random_trade,False,-0.5100000000010294,2.6,3.3,3.6,3.1,0.8,3.3,2.9,2.0,4.3,3.8,2.5
99,Tarraconensis,random_trade,False,-0.660000000000841,4.6,3.7,3.8,3.4,0.0,3.6,3.2,3.9,2.8,3.2,3.3
100,Tarraconensis,conservative_trade,False,-0.6400000000006474,1.8,1.4,1.1,1.6,0.3,1.8,2.1,1.9,3.8,1.6,1.8
101,Western Mediterranean,conservative_trade,False,-0.5700000000007941,1.7,1.2,1.3,1.9,0.0,1.8,1.7,1.3,2.9,2.2,2.0
102,Western Mediterranean,aggressive_trade,False,-0.36666666668988884,11.333333333333334,11.0,10.666666666666666,8.666666666666666,3.0,16.666666666666668,10.666666666666666,12.0,6.0,13.666666666666666,12.666666666666666
102,Western Mediterranean,aggressive_trade,True,1558.271428571527,13.0,10.428571428571429,16.428571428571427,11.714285714285714,0.7142857142857143,13.285714285714286,13.571428571428571,13.142857142857142,18.571428571428573,14.285714285714286,10.714285714285714
103,Western Mediterranean,random_trade,False,-0.5200000000006997,5.7,4.5,3.1,4.7,0.9,3.8,3.2,2.8,5.4,4.0,2.8
104,Western Mediterranean,conservative_trade,False,-0.7100000000006913,1.7,1.9,1.7,1.5,0.0,2.5,2.2,1.5,2.6,1.4,1.9
105,Western Mediterranean,conservative_trade,False,-0.5800000000006835,1.8,1.9,1.6,1.8,0.0,2.7,1.5,1.2,2.8,1.7,1.6
106,Western Mediterranean,aggressive_trade,False,-0.6666666667038116,12.0,12.0,12.0,10.333333333333334,1.6666666666666667,8.333333333333334,12.0,9.0,21.333333333333332,7.0,12.0
106,Western Mediterranean,aggressive_trade,True,3196.0285714286306,14.0,10.142857142857142,11.571428571428571,12.714285714285714,1.1428571428571428,13.571428571428571,15.142857142857142,15.714285714285714,22.142857142857142,11.857142857142858,12.142857142857142
107,Western Mediterranean,aggressive_trade,False,-0.7200000000384275,11.4,12.0,12.8,13.2,3.0,12.0,9.4,15.0,9.8,11.0,14.4
107,Western Mediterranean,aggressive_trade,True,438.23999999997966,9.2,12.8,10.8,11.8,1.2,9.6,14.4,10.8,29.8,13.4,10.8
108,Western Mediterranean,random_trade,False,-0.6200000000009183,3.4,3.7,2.8,3.4,0.7,3.0,3.7,2.3,3.9,3.2,4.0
109,Western Mediterranean,conservative_trade,False,-0.800000000000623,1.0,2.0,2.2,1.9,0.0,2.0,1.1,1.5,4.8,1.3,1.9
110,Western Mediterranean,conservative_trade,False,-0.650000000000664,1.8,1.5,1.4,2.7,0.2,1.5,1.2,1.8,3.2,1.8,1.9
