Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,NAPottery,TarrPottery,EgyptianPottery,EMPottery,BaeticanPottery,WMPottery,IberianPottery,AegeanPottery,AdriaticPottery,ItalianPottery,total_pottery
35,Eastern Mediterranean,aggressive_trade,True,8131,21,4,"13,5","21,5",3,0,3,"0,5",2,18,0,"86,5"
36,Eastern Mediterranean,aggressive_trade,False,0,"4,75",7,"10,25","5,625","6,375","1,875","4,75","0,625","6,75","5,875","1,25","55,125"
36,Eastern Mediterranean,aggressive_trade,True,8219,11,10,"11,5","17,5","6,5",0,6,0,8,"14,5",0,85
37,Eastern Mediterranean,random_trade,False,0,"1,5","1,1","2,2","1,9","1,8","2,1","2,3",1,"2,1","1,4","1,5","18,9"
38,Eastern Mediterranean,conservative_trade,False,0,"1,3","1,2","1,4","1,7","1,4","1,4","0,9",1,"0,7","1,1","0,8","12,9"
39,Eastern Mediterranean,random_trade,False,0,"2,6","1,7","2,7","1,2","2,5","0,7",2,"1,6","2,4","1,7",1,"20,1"
40,Eastern Mediterranean,random_trade,False,0,"1,7","2,3","2,9","1,4","1,8","0,3","2,4","0,8",2,"2,3","0,8","18,7"
41,Egypt,conservative_trade,False,0,"1,4",1,"1,4","1,1","1,5","1,3","1,1","0,7",1,"1,8","1,1","13,4"
42,Egypt,conservative_trade,False,0,"0,3","1,1","1,9","1,8","0,9","0,6","1,3","1,7","0,9","1,2","0,9","12,6"
43,Egypt,conservative_trade,False,0,"1,4","1,7","1,5","1,3","1,6","0,6","0,7","1,4","0,8","1,4","0,7","13,1"
44,Egypt,random_trade,False,0,"1,3","1,6","3,2","2,4","1,1",1,"2,4","1,3","1,7","1,4","1,1","18,5"
45,Egypt,random_trade,False,0,"1,5","1,7","2,7","2,4","1,2",1,"1,8","0,8","1,1","2,4","1,3","17,9"
46,Egypt,aggressive_trade,False,0,"5,75","9,75","8,75","5,25","5,75","0,5",5,2,"7,5","4,25",2,"56,5"
46,Egypt,aggressive_trade,True,"9527,1666666667","12,1666666667","7,6666666667","15,8333333333","9,1666666667","10,3333333333","0,8333333333","7,6666666667","0,6666666667","7,3333333333","12,5","0,5","84,6666666667"
47,Egypt,aggressive_trade,False,0,"7,1666666667",7,10,"5,3333333333","7,3333333333","0,8333333333","6,1666666667","1,5","6,5","7,6666666667","1,3333333333","60,8333333333"
47,Egypt,aggressive_trade,True,"4576,25","12,5","7,75","14,75",8,"8,75","1,25","8,75","0,75","6,75","14,75","0,5","84,5"
48,Egypt,conservative_trade,False,0,"0,8",2,"1,9","1,2","1,7",1,1,"0,5","0,7","1,3","0,8","12,9"
49,Egypt,conservative_trade,False,0,"2,4",1,1,"1,2","0,9","0,7","0,8","1,3","1,4","1,2",1,"12,9"
50,Egypt,random_trade,False,0,"1,7","2,2","2,3","2,6","1,9",1,"1,6","0,8","1,8","1,3","1,2","18,4"
51,Gallia,aggressive_trade,False,0,"3,8333333333","4,8333333333","8,1666666667","5,8333333333","8,3333333333","1,8333333333","7,6666666667","1,3333333333","8,3333333333","5,6666666667","1,1666666667",57
51,Gallia,aggressive_trade,True,"5554,5","16,25","5,75","15,25","13,5","7,25","0,5","8,25",1,"7,25","13,5","0,5",89
52,Gallia,aggressive_trade,False,0,"5,375","5,625",8,"4,75","7,25",1,"5,25",1,"6,125","6,25","0,5","51,125"
52,Gallia,aggressive_trade,True,"5798,5",24,4,10,17,2,0,"3,5","0,5","2,5","16,5","0,5","80,5"
53,Gallia,random_trade,False,0,2,"2,1","1,7","1,9","2,2","1,9","1,8","0,8","2,2","1,8","0,8","19,2"
54,Gallia,random_trade,False,0,"2,3","1,5","1,8","2,1","1,2","1,2","2,7","1,1",2,"1,8",1,"18,7"
55,Gallia,aggressive_trade,False,0,"6,6666666667","8,5","9,5",8,"6,6666666667","1,8333333333","7,8333333333","0,8333333333","8,8333333333","6,6666666667","1,1666666667","66,5"
55,Gallia,aggressive_trade,True,"3731,25","11,5","6,5",13,16,"5,75","0,5","6,75","0,5","5,75","13,5","1,25",81
56,Gallia,random_trade,False,0,"2,1","1,5","2,6","1,5","1,6",1,"2,2","0,9","2,3","2,1","0,7","18,5"
57,Gallia,conservative_trade,False,0,1,"1,7","1,6","1,4","0,9","0,5",1,"1,3",1,1,"1,2","12,6"
58,Gallia,random_trade,False,0,"1,9","2,1","3,1","1,4","1,9","1,1","2,1","0,8","1,6","1,8","1,3","19,1"
59,Gallia,aggressive_trade,False,0,"6,4285714286","6,4285714286","9,7142857143","4,8571428571","6,2857142857","0,8571428571","7,4285714286","0,8571428571","6,7142857143","5,8571428571",1,"56,4285714286"
59,Gallia,aggressive_trade,True,4788,"11,3333333333","9,3333333333","12,6666666667","8,3333333333",10,2,"11,6666666667","0,3333333333","8,6666666667","8,3333333333","1,3333333333",84
60,Gallia,conservative_trade,False,0,"1,2","1,5","0,8","1,1","1,1","0,6","1,5","1,1","0,8","1,3","0,9","11,9"
61,Italy,random_trade,False,0,"2,1","2,4","2,3","2,4","1,5","1,2","2,2","1,1","2,1","1,4","1,3",20
62,Italy,aggressive_trade,False,0,5,"9,3333333333","7,6666666667","2,6666666667","6,8888888889","1,4444444444","6,8888888889","0,5555555556","7,3333333333","5,6666666667","1,2222222222","54,6666666667"
62,Italy,aggressive_trade,True,5259,12,10,20,9,7,2,3,0,8,6,0,77
63,Italy,aggressive_trade,False,0,"4,875","6,75","10,625","4,75","4,875",1,"6,875",1,"5,75","5,25","1,25",53
63,Italy,aggressive_trade,True,"5114,5",21,4,10,"15,5",6,0,"6,5",0,"1,5","19,5",0,84
64,Italy,aggressive_trade,False,0,"6,1428571429","7,2857142857",10,"6,4285714286","5,7142857143",1,"6,4285714286","0,1428571429","8,7142857143","5,7142857143","1,5714285714","59,1428571429"
64,Italy,aggressive_trade,True,6506,"10,6666666667",7,"9,3333333333","15,6666666667","7,6666666667","1,6666666667",10,1,8,"16,6666666667","0,3333333333",88
65,Italy,conservative_trade,False,0,"0,9","1,1","1,1","0,9","1,2","1,2","1,3","1,4","0,9","1,8","1,3","13,1"
66,Italy,random_trade,False,0,"1,8",3,"2,4","2,6","1,8","0,7","1,7","0,7","2,3","1,7","0,3",19
67,Italy,aggressive_trade,False,0,"6,5714285714","8,2857142857","9,5714285714",5,"9,2857142857","1,5714285714","7,7142857143","1,4285714286","7,5714285714","5,8571428571",2,"64,8571428571"
67,Italy,aggressive_trade,True,8102,"13,3333333333","6,3333333333","10,3333333333",18,8,"0,3333333333","7,6666666667",2,"7,3333333333","11,6666666667",0,85
68,Italy,aggressive_trade,False,0,"3,75","7,125",7,"5,75",7,1,"7,625","1,5","5,5","5,625","0,5","52,375"
68,Italy,aggressive_trade,True,9268,10,6,"20,5","12,5",6,0,"8,5","0,5",7,"13,5",1,"85,5"
69,Italy,conservative_trade,False,0,"1,4","1,3","1,2","1,1","0,9","1,2","1,5","0,7","1,5","1,6","1,1","13,5"
70,Italy,conservative_trade,False,0,"1,1","0,9","1,1","1,3","0,9","1,1","0,9","1,6","0,9","1,5","1,2","12,5"
71,Iberian Peninsula,conservative_trade,False,0,"1,8","1,2","1,2","1,1",1,"0,9","1,2","1,2","1,2","0,8","0,9","12,5"
72,Iberian Peninsula,aggressive_trade,False,0,5,7,"12,4285714286","7,8571428571","6,1428571429","1,4285714286","7,1428571429","0,7142857143","7,1428571429",7,"1,1428571429",63
72,Iberian Peninsula,aggressive_trade,True,"3498,3333333333",13,"7,6666666667",13,"14,6666666667",6,"0,3333333333",8,"0,3333333333","7,6666666667","13,6666666667","0,3333333333","84,6666666667"
73,Iberian Peninsula,random_trade,False,0,"1,6","1,9",3,"1,5",2,"1,1",2,"0,9","1,1",2,"1,4","18,5"
74,Iberian Peninsula,random_trade,False,0,2,"1,5","2,7","1,9","2,1","0,4","1,8","0,8","1,4","2,7","0,6","17,9"
75,Iberian Peninsula,conservative_trade,False,0,"1,4","0,7","1,5","1,5","1,1","0,9","0,5","1,3","1,1","1,6",1,"12,6"
76,Iberian Peninsula,aggressive_trade,False,0,"6,4285714286","5,8571428571","8,7142857143","6,7142857143","5,4285714286","0,5714285714","6,5714285714","0,5714285714","6,7142857143","7,2857142857","1,4285714286","56,2857142857"
76,Iberian Peninsula,aggressive_trade,True,6416,17,5,"10,3333333333","20,3333333333","3,3333333333","1,6666666667","3,3333333333","1,3333333333",7,"17,3333333333","0,3333333333",87
77,Iberian Peninsula,aggressive_trade,False,0,"6,5","6,5","9,375","5,25","8,875","0,625","7,25","0,875","6,75","6,875","1,375","60,25"
77,Iberian Peninsula,aggressive_trade,True,6617,"10,5",11,20,"8,5","9,5",0,"10,5","0,5","5,5","10,5",0,"86,5"
78,Iberian Peninsula,random_trade,False,0,2,"1,5","3,2","2,6","2,4","0,6","2,2","0,5","1,6","2,4","1,1","20,1"
