Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,NAPottery,TarrPottery,EgyptianPottery,EMPottery,BaeticanPottery,WMPottery,IberianPottery,AegeanPottery,AdriaticPottery,ItalianPottery
35,Eastern Mediterranean,aggressive_trade,False,0.0,5.5,7.125,6.625,4.125,7.0,1.25,6.625,0.625,7.625,6.125,1.5
35,Eastern Mediterranean,aggressive_trade,True,8131.0,21.0,4.0,13.5,21.5,3.0,0.0,3.0,0.5,2.0,18.0,0.0
36,Eastern Mediterranean,aggressive_trade,False,0.0,4.75,7.0,10.25,5.625,6.375,1.875,4.75,0.625,6.75,5.875,1.25
36,Eastern Mediterranean,aggressive_trade,True,8219.0,11.0,10.0,11.5,17.5,6.5,0.0,6.0,0.0,8.0,14.5,0.0
37,Eastern Mediterranean,random_trade,False,0.0,1.5,1.1,2.2,1.9,1.8,2.1,2.3,1.0,2.1,1.4,1.5
38,Eastern Mediterranean,conservative_trade,False,0.0,1.3,1.2,1.4,1.7,1.4,1.4,0.9,1.0,0.7,1.1,0.8
39,Eastern Mediterranean,random_trade,False,0.0,2.6,1.7,2.7,1.2,2.5,0.7,2.0,1.6,2.4,1.7,1.0
40,Eastern Mediterranean,random_trade,False,0.0,1.7,2.3,2.9,1.4,1.8,0.3,2.4,0.8,2.0,2.3,0.8
41,Egypt,conservative_trade,False,0.0,1.4,1.0,1.4,1.1,1.5,1.3,1.1,0.7,1.0,1.8,1.1
42,Egypt,conservative_trade,False,0.0,0.3,1.1,1.9,1.8,0.9,0.6,1.3,1.7,0.9,1.2,0.9
43,Egypt,conservative_trade,False,0.0,1.4,1.7,1.5,1.3,1.6,0.6,0.7,1.4,0.8,1.4,0.7
44,Egypt,random_trade,False,0.0,1.3,1.6,3.2,2.4,1.1,1.0,2.4,1.3,1.7,1.4,1.1
45,Egypt,random_trade,False,0.0,1.5,1.7,2.7,2.4,1.2,1.0,1.8,0.8,1.1,2.4,1.3
46,Egypt,aggressive_trade,False,0.0,5.75,9.75,8.75,5.25,5.75,0.5,5.0,2.0,7.5,4.25,2.0
46,Egypt,aggressive_trade,True,9527.166666666666,12.166666666666666,7.666666666666667,15.833333333333334,9.166666666666666,10.333333333333334,0.8333333333333334,7.666666666666667,0.6666666666666666,7.333333333333333,12.5,0.5
47,Egypt,aggressive_trade,False,0.0,7.166666666666667,7.0,10.0,5.333333333333333,7.333333333333333,0.8333333333333334,6.166666666666667,1.5,6.5,7.666666666666667,1.3333333333333333
47,Egypt,aggressive_trade,True,4576.25,12.5,7.75,14.75,8.0,8.75,1.25,8.75,0.75,6.75,14.75,0.5
48,Egypt,conservative_trade,False,0.0,0.8,2.0,1.9,1.2,1.7,1.0,1.0,0.5,0.7,1.3,0.8
49,Egypt,conservative_trade,False,0.0,2.4,1.0,1.0,1.2,0.9,0.7,0.8,1.3,1.4,1.2,1.0
50,Egypt,random_trade,False,0.0,1.7,2.2,2.3,2.6,1.9,1.0,1.6,0.8,1.8,1.3,1.2
51,Gallia,aggressive_trade,False,0.0,3.8333333333333335,4.833333333333333,8.166666666666666,5.833333333333333,8.333333333333334,1.8333333333333333,7.666666666666667,1.3333333333333333,8.333333333333334,5.666666666666667,1.1666666666666667
51,Gallia,aggressive_trade,True,5554.5,16.25,5.75,15.25,13.5,7.25,0.5,8.25,1.0,7.25,13.5,0.5
52,Gallia,aggressive_trade,False,0.0,5.375,5.625,8.0,4.75,7.25,1.0,5.25,1.0,6.125,6.25,0.5
52,Gallia,aggressive_trade,True,5798.5,24.0,4.0,10.0,17.0,2.0,0.0,3.5,0.5,2.5,16.5,0.5
53,Gallia,random_trade,False,0.0,2.0,2.1,1.7,1.9,2.2,1.9,1.8,0.8,2.2,1.8,0.8
54,Gallia,random_trade,False,0.0,2.3,1.5,1.8,2.1,1.2,1.2,2.7,1.1,2.0,1.8,1.0
55,Gallia,aggressive_trade,False,0.0,6.666666666666667,8.5,9.5,8.0,6.666666666666667,1.8333333333333333,7.833333333333333,0.8333333333333334,8.833333333333334,6.666666666666667,1.1666666666666667
55,Gallia,aggressive_trade,True,3731.25,11.5,6.5,13.0,16.0,5.75,0.5,6.75,0.5,5.75,13.5,1.25
56,Gallia,random_trade,False,0.0,2.1,1.5,2.6,1.5,1.6,1.0,2.2,0.9,2.3,2.1,0.7
57,Gallia,conservative_trade,False,0.0,1.0,1.7,1.6,1.4,0.9,0.5,1.0,1.3,1.0,1.0,1.2
58,Gallia,random_trade,False,0.0,1.9,2.1,3.1,1.4,1.9,1.1,2.1,0.8,1.6,1.8,1.3
59,Gallia,aggressive_trade,False,0.0,6.428571428571429,6.428571428571429,9.714285714285714,4.857142857142857,6.285714285714286,0.8571428571428571,7.428571428571429,0.8571428571428571,6.714285714285714,5.857142857142857,1.0
59,Gallia,aggressive_trade,True,4788.0,11.333333333333334,9.333333333333334,12.666666666666666,8.333333333333334,10.0,2.0,11.666666666666666,0.3333333333333333,8.666666666666666,8.333333333333334,1.3333333333333333
60,Gallia,conservative_trade,False,0.0,1.2,1.5,0.8,1.1,1.1,0.6,1.5,1.1,0.8,1.3,0.9
61,Italy,random_trade,False,0.0,2.1,2.4,2.3,2.4,1.5,1.2,2.2,1.1,2.1,1.4,1.3
62,Italy,aggressive_trade,False,0.0,5.0,9.333333333333334,7.666666666666667,2.6666666666666665,6.888888888888889,1.4444444444444444,6.888888888888889,0.5555555555555556,7.333333333333333,5.666666666666667,1.2222222222222223
62,Italy,aggressive_trade,True,5259.0,12.0,10.0,20.0,9.0,7.0,2.0,3.0,0.0,8.0,6.0,0.0
63,Italy,aggressive_trade,False,0.0,4.875,6.75,10.625,4.75,4.875,1.0,6.875,1.0,5.75,5.25,1.25
63,Italy,aggressive_trade,True,5114.5,21.0,4.0,10.0,15.5,6.0,0.0,6.5,0.0,1.5,19.5,0.0
64,Italy,aggressive_trade,False,0.0,6.142857142857143,7.285714285714286,10.0,6.428571428571429,5.714285714285714,1.0,6.428571428571429,0.14285714285714285,8.714285714285714,5.714285714285714,1.5714285714285714
64,Italy,aggressive_trade,True,6506.0,10.666666666666666,7.0,9.333333333333334,15.666666666666666,7.666666666666667,1.6666666666666667,10.0,1.0,8.0,16.666666666666668,0.3333333333333333
65,Italy,conservative_trade,False,0.0,0.9,1.1,1.1,0.9,1.2,1.2,1.3,1.4,0.9,1.8,1.3
66,Italy,random_trade,False,0.0,1.8,3.0,2.4,2.6,1.8,0.7,1.7,0.7,2.3,1.7,0.3
67,Italy,aggressive_trade,False,0.0,6.571428571428571,8.285714285714286,9.571428571428571,5.0,9.285714285714286,1.5714285714285714,7.714285714285714,1.4285714285714286,7.571428571428571,5.857142857142857,2.0
67,Italy,aggressive_trade,True,8102.0,13.333333333333334,6.333333333333333,10.333333333333334,18.0,8.0,0.3333333333333333,7.666666666666667,2.0,7.333333333333333,11.666666666666666,0.0
68,Italy,aggressive_trade,False,0.0,3.75,7.125,7.0,5.75,7.0,1.0,7.625,1.5,5.5,5.625,0.5
68,Italy,aggressive_trade,True,9268.0,10.0,6.0,20.5,12.5,6.0,0.0,8.5,0.5,7.0,13.5,1.0
69,Italy,conservative_trade,False,0.0,1.4,1.3,1.2,1.1,0.9,1.2,1.5,0.7,1.5,1.6,1.1
70,Italy,conservative_trade,False,0.0,1.1,0.9,1.1,1.3,0.9,1.1,0.9,1.6,0.9,1.5,1.2
71,Iberian Peninsula,conservative_trade,False,0.0,1.8,1.2,1.2,1.1,1.0,0.9,1.2,1.2,1.2,0.8,0.9
72,Iberian Peninsula,aggressive_trade,False,0.0,5.0,7.0,12.428571428571429,7.857142857142857,6.142857142857143,1.4285714285714286,7.142857142857143,0.7142857142857143,7.142857142857143,7.0,1.1428571428571428
72,Iberian Peninsula,aggressive_trade,True,3498.3333333333335,13.0,7.666666666666667,13.0,14.666666666666666,6.0,0.3333333333333333,8.0,0.3333333333333333,7.666666666666667,13.666666666666666,0.3333333333333333
73,Iberian Peninsula,random_trade,False,0.0,1.6,1.9,3.0,1.5,2.0,1.1,2.0,0.9,1.1,2.0,1.4
74,Iberian Peninsula,random_trade,False,0.0,2.0,1.5,2.7,1.9,2.1,0.4,1.8,0.8,1.4,2.7,0.6
75,Iberian Peninsula,conservative_trade,False,0.0,1.4,0.7,1.5,1.5,1.1,0.9,0.5,1.3,1.1,1.6,1.0
