Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AegeanPottery,EMPottery,NAPottery,AdriaticPottery,IberianPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery
43,Egypt,random_trade,False,0.2587500000000331,2.4,2.1,2.1,2.7,2.4,3.3,3.0,2.6,2.4,2.8
44,Egypt,random_trade,False,0.33575000000005556,1.6,3.1,2.2,3.3,2.5,2.4,2.7,1.9,3.5,2.9
45,Egypt,conservative_trade,False,0.15399999999992786,1.4,1.4,1.4,1.3,2.3,2.5,2.3,0.9,1.1,1.3
46,Egypt,random_trade,False,0.3420000000003976,3.1,3.3,3.0,2.2,2.5,2.5,2.8,2.4,2.5,2.1
47,Egypt,random_trade,False,0.24525000000014993,3.3,1.6,2.4,1.9,2.1,2.5,2.9,3.4,2.1,3.4
48,Egypt,aggressive_trade,False,0.5402777777778284,7.444444444444445,4.444444444444445,6.777777777777778,7.111111111111111,5.0,5.333333333333333,6.333333333333333,3.888888888888889,5.555555555555555,4.333333333333333
48,Egypt,aggressive_trade,True,193.6774999999968,6.0,13.0,3.0,5.0,3.0,9.0,3.0,4.0,5.0,8.0
49,Egypt,random_trade,False,0.28550000000031994,2.3,3.9,3.4,2.2,1.9,2.4,1.9,4.0,2.4,2.4
50,Egypt,aggressive_trade,False,0.42500000000037375,5.571428571428571,7.0,5.857142857142857,5.285714285714286,4.0,6.285714285714286,5.571428571428571,5.285714285714286,5.857142857142857,6.285714285714286
50,Egypt,aggressive_trade,True,949.7775000000065,7.333333333333333,8.0,5.333333333333333,4.333333333333333,5.0,5.666666666666667,8.0,7.0,6.0,7.0
51,Gallia,aggressive_trade,False,0.6643750000036799,5.875,4.0,6.0,5.875,5.625,8.0,6.25,6.25,5.0,4.875
51,Gallia,aggressive_trade,True,650.9637500000028,4.0,3.5,6.0,7.0,8.0,5.5,9.0,7.5,6.0,4.0
52,Gallia,aggressive_trade,False,0.594583333332362,6.666666666666667,5.0,6.166666666666667,5.5,5.0,4.5,6.5,6.0,6.0,6.166666666666667
52,Gallia,aggressive_trade,True,626.7481250000059,8.5,5.25,7.0,4.5,7.75,6.75,8.0,4.25,6.75,5.0
53,Gallia,aggressive_trade,False,0.8800000000077262,5.0,7.5,4.0,7.0,9.0,3.0,6.5,7.5,3.5,6.5
53,Gallia,aggressive_trade,True,892.5309374999998,7.75,7.375,6.5,6.25,7.375,6.5,4.875,6.625,5.125,5.125
54,Gallia,conservative_trade,False,0.09524999999991692,1.3,1.4,1.6,2.5,1.1,1.4,2.3,1.9,1.0,1.9
55,Gallia,conservative_trade,False,0.1699999999998783,1.2,1.6,1.0,1.4,1.7,1.4,2.4,1.6,2.3,2.2
56,Gallia,random_trade,False,0.2975000000002755,2.5,2.6,1.8,2.9,3.9,2.7,2.5,3.4,2.5,2.8
57,Gallia,random_trade,False,0.2712500000001299,2.5,3.1,3.6,2.8,2.2,2.3,2.9,3.2,3.2,2.6
58,Gallia,random_trade,False,0.31975000000007203,2.1,4.0,2.2,3.2,3.3,2.6,2.5,3.1,3.4,3.2
59,Gallia,random_trade,False,0.27075000000014104,2.5,3.5,2.5,2.1,3.6,2.5,1.8,2.7,2.7,3.9
60,Gallia,random_trade,False,0.19150000000023976,3.3,2.2,2.5,2.4,2.4,3.2,3.4,2.5,2.8,3.6
61,Iberian Peninsula,random_trade,False,0.2575000000002478,3.0,3.1,2.3,2.4,2.9,3.8,2.4,2.5,3.1,3.2
62,Iberian Peninsula,aggressive_trade,False,0.4870833333321703,6.666666666666667,5.5,5.833333333333333,6.166666666666667,8.666666666666666,4.833333333333333,5.166666666666667,6.166666666666667,5.833333333333333,4.333333333333333
62,Iberian Peninsula,aggressive_trade,True,1202.6987500000037,5.25,7.5,8.0,5.75,5.75,7.75,5.5,6.0,8.0,7.0
63,Iberian Peninsula,random_trade,False,0.32450000000006296,2.8,2.9,4.1,2.5,3.9,2.6,3.0,1.8,2.4,2.9
64,Iberian Peninsula,conservative_trade,False,0.1715000000001426,1.7,1.6,1.8,1.5,1.9,1.9,1.4,2.0,1.6,1.4
65,Iberian Peninsula,aggressive_trade,False,0.36099999999892135,6.4,4.6,6.8,6.6,5.2,5.8,6.0,7.8,5.0,6.0
65,Iberian Peninsula,aggressive_trade,True,857.9329999999931,6.2,7.0,6.2,10.0,4.4,7.2,7.6,6.2,5.4,6.2
66,Iberian Peninsula,aggressive_trade,False,0.28249999999711406,6.0,9.0,6.0,6.5,2.5,10.0,4.5,5.0,5.0,5.5
66,Iberian Peninsula,aggressive_trade,True,1087.616562500002,7.5,5.375,5.625,8.625,7.0,5.0,8.0,7.25,5.25,6.625
67,Iberian Peninsula,aggressive_trade,False,0.1762500000010263,6.5,8.5,5.0,8.5,4.0,7.5,6.0,4.0,6.5,7.0
67,Iberian Peninsula,aggressive_trade,True,1145.8278125000038,5.5,5.875,6.375,4.875,6.0,7.5,6.75,8.375,7.0,9.25
68,Iberian Peninsula,aggressive_trade,False,0.7337499999963413,8.5,7.0,5.0,6.5,6.0,6.5,5.0,5.5,7.5,7.0
68,Iberian Peninsula,aggressive_trade,True,1387.2293750000033,7.5,7.375,7.125,6.25,8.0,8.5,7.25,4.5,7.625,6.625
69,Iberian Peninsula,random_trade,False,0.32275000000003934,1.9,2.2,2.2,2.8,3.1,2.7,3.6,2.8,3.3,2.0
70,Iberian Peninsula,random_trade,False,0.29025000000008416,3.4,2.5,2.3,3.1,3.2,3.2,3.5,3.6,2.5,2.9
71,Italy,random_trade,False,0.28550000000019754,2.5,3.7,2.7,3.3,3.7,3.7,3.2,3.0,3.8,1.6
72,Italy,random_trade,False,0.27300000000030744,2.8,4.2,2.7,3.2,2.8,3.9,3.0,3.2,3.2,2.6
73,Italy,conservative_trade,False,0.15925000000006714,1.8,1.0,1.5,1.8,1.1,1.5,2.1,1.9,2.1,1.5
74,Italy,random_trade,False,0.2680000000000521,2.6,3.0,3.7,2.1,2.9,2.6,2.4,2.0,4.0,4.0
75,Italy,conservative_trade,False,0.14999999999990568,2.4,1.5,1.6,1.7,1.8,1.9,2.0,1.5,1.4,1.4
76,Italy,random_trade,False,0.19600000000027712,2.8,3.1,3.8,2.5,2.6,3.2,2.3,2.4,3.8,2.3
77,Italy,aggressive_trade,False,0.7481249999989936,7.25,5.75,8.5,5.0,8.25,5.75,7.75,5.0,4.5,6.5
77,Italy,aggressive_trade,True,1222.7633333333395,6.0,7.0,6.333333333333333,6.333333333333333,8.166666666666666,9.666666666666666,6.5,6.166666666666667,6.5,7.5
78,Italy,random_trade,False,0.31375000000027636,2.4,3.1,2.4,2.9,3.0,2.3,3.5,2.6,3.3,3.0
79,Italy,random_trade,False,0.3017500000001062,3.6,3.0,2.1,2.5,3.5,2.0,2.8,3.6,3.4,3.5
80,Italy,random_trade,False,0.264000000000307,3.1,3.7,3.8,2.6,3.2,2.9,1.9,3.2,2.6,2.8
81,North Africa,random_trade,False,0.26075000000019777,3.1,2.8,2.7,3.5,2.7,2.1,2.8,2.9,3.3,3.1
82,North Africa,conservative_trade,False,0.16375000000000556,1.8,1.6,2.5,1.4,1.5,1.6,2.4,2.3,1.2,1.4
83,North Africa,aggressive_trade,True,1554.6959999999983,6.3,5.2,5.1,7.8,6.6,8.2,6.3,8.1,7.8,8.2
84,North Africa,conservative_trade,False,0.21650000000000436,1.5,1.3,1.9,1.5,2.2,2.2,1.7,1.7,1.8,2.3
85,North Africa,aggressive_trade,True,2284.263999999993,6.3,6.4,8.8,7.3,6.5,7.0,6.1,7.7,7.4,7.7
86,North Africa,conservative_trade,False,0.15975000000015135,1.8,2.1,1.2,2.2,1.9,2.0,1.4,2.1,1.4,1.6
87,North Africa,aggressive_trade,False,0.972499999999556,6.0,6.0,8.0,5.0,5.0,14.0,4.0,3.0,3.0,6.0
87,North Africa,aggressive_trade,True,1545.1919444444363,7.222222222222222,8.333333333333334,8.88888888888889,5.333333333333333,8.11111111111111,5.111111111111111,6.555555555555555,7.222222222222222,6.555555555555555,7.222222222222222
88,North Africa,aggressive_trade,True,1924.608249999997,8.5,6.6,7.0,6.2,9.2,6.6,6.7,6.4,6.5,7.7
89,North Africa,aggressive_trade,False,0.1700000000084003,9.0,4.0,4.0,7.0,8.0,4.0,3.0,7.0,4.0,11.0
89,North Africa,aggressive_trade,True,2669.7188888888795,6.333333333333333,6.555555555555555,7.888888888888889,6.888888888888889,6.888888888888889,7.777777777777778,6.888888888888889,8.444444444444445,7.333333333333333,9.11111111111111
90,North Africa,aggressive_trade,True,2648.199499999994,8.2,8.1,6.6,8.0,7.5,7.6,7.1,6.0,8.4,7.4
91,Tarraconensis,random_trade,False,0.2780000000001753,2.9,3.1,3.3,2.1,3.6,3.4,3.8,2.4,3.0,2.6
92,Tarraconensis,conservative_trade,False,0.10774999999984947,1.8,0.6,2.1,2.1,1.2,1.9,1.9,1.6,2.1,1.8
93,Tarraconensis,aggressive_trade,True,2022.399499999991,7.8,7.3,7.9,7.8,7.7,7.6,5.9,8.2,8.1,5.5
94,Tarraconensis,aggressive_trade,True,2596.6864999999957,7.8,8.9,7.9,6.6,7.5,10.7,7.1,7.9,7.0,5.9
95,Tarraconensis,conservative_trade,False,0.17625000000002675,1.8,1.6,1.5,1.7,2.2,1.9,1.9,1.9,2.2,0.9
96,Tarraconensis,aggressive_trade,True,3232.1942499999927,8.7,8.7,8.0,7.9,8.3,5.9,7.4,6.9,6.5,9.1
97,Tarraconensis,aggressive_trade,True,2708.3042499999947,7.9,7.6,7.3,6.8,9.0,6.7,8.5,8.8,7.2,7.4
98,Tarraconensis,aggressive_trade,True,2932.9014999999913,6.9,7.8,8.2,8.4,6.8,6.4,7.7,9.1,8.3,7.6
99,Tarraconensis,random_trade,False,0.4445000000002516,3.0,3.5,3.0,3.9,3.0,3.8,3.4,3.2,3.4,4.6
100,Tarraconensis,conservative_trade,False,0.1344999999999772,1.9,2.2,1.4,1.2,1.8,2.2,2.2,1.6,1.7,1.5
