Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,EgyptianPottery,TarrPottery,GallicPottery,ItalianPottery,AegeanPottery,WMPottery,AdriaticPottery,NAPottery,IberianPottery,EMPottery
45,Egypt,aggressive_trade,False,5.022999999999967,4.0,2.7,3.2,2.3,4.0,3.5,2.2,2.6,2.8,3.0,3.0
46,Egypt,conservative_trade,False,1.696999999999926,1.4,0.9,1.4,1.1,1.3,0.9,1.1,1.6,1.3,1.3,1.6
47,Egypt,conservative_trade,False,2.3012499999999925,1.1,1.0,1.1,1.1,1.0,1.6,1.8,1.5,1.4,0.9,1.2
48,Egypt,aggressive_trade,False,5.1899999999999,3.6,3.6,1.9,3.3,2.7,3.7,3.0,4.0,2.4,2.8,3.4
49,Egypt,random_trade,False,2.953249999999969,2.8,1.7,1.8,1.8,1.8,1.9,1.0,2.0,1.8,2.2,2.2
50,Egypt,conservative_trade,False,0.8312499999999593,1.8,1.2,1.0,1.0,0.7,1.1,1.2,0.9,1.2,1.7,1.3
51,Gallia,aggressive_trade,False,4.753249999999936,3.6,3.0,3.6,3.1,3.2,2.4,3.1,2.0,2.7,2.8,2.5
52,Gallia,conservative_trade,False,2.688499999999939,1.0,1.2,2.1,1.1,1.1,1.3,1.3,0.9,1.4,1.4,1.2
53,Gallia,random_trade,False,4.197499999999964,1.2,1.3,2.3,1.6,1.9,2.0,1.5,1.1,1.6,2.0,2.0
54,Gallia,conservative_trade,False,1.696999999999982,0.7,1.1,1.4,2.0,1.4,0.5,1.0,1.3,1.6,2.0,1.5
55,Gallia,aggressive_trade,False,4.763499999999998,2.6,2.9,3.5,3.5,3.5,2.3,3.2,2.5,2.7,2.5,3.3
56,Gallia,conservative_trade,False,2.5495000000000214,1.2,0.6,1.3,1.1,1.5,1.7,1.9,1.4,1.2,0.8,1.0
57,Gallia,aggressive_trade,False,5.475999999999978,3.7,2.8,3.5,4.0,3.4,4.0,2.5,3.4,3.0,3.8,3.0
58,Gallia,conservative_trade,False,1.2757499999999704,1.0,1.3,1.1,1.2,2.0,1.2,1.0,1.2,1.4,1.3,1.2
59,Gallia,random_trade,False,1.8277499999999798,2.0,1.8,1.6,2.8,1.9,1.6,1.8,2.0,1.7,1.9,1.9
60,Gallia,random_trade,False,2.6407499999999455,2.2,1.8,1.6,2.1,2.0,1.1,2.6,2.1,1.7,1.3,1.6
61,Iberian Peninsula,conservative_trade,False,1.6242499999999578,2.1,2.0,1.1,1.3,1.2,0.9,1.5,1.0,0.9,1.4,1.0
62,Iberian Peninsula,random_trade,False,2.212999999999961,1.4,2.6,1.6,1.7,1.9,1.8,2.4,1.6,1.2,1.4,1.4
63,Iberian Peninsula,conservative_trade,False,1.0159999999999458,1.2,2.1,0.7,1.4,1.2,1.7,1.2,1.0,1.4,1.1,0.8
64,Iberian Peninsula,random_trade,False,1.1279999999999772,1.7,1.6,2.2,1.5,1.4,2.6,1.5,1.3,1.8,2.4,1.9
65,Iberian Peninsula,aggressive_trade,False,4.822749999999928,3.0,3.8,2.8,2.7,3.1,4.0,2.4,2.3,2.3,3.4,3.0
66,Iberian Peninsula,conservative_trade,False,1.3737499999999578,1.8,1.9,1.3,1.2,1.3,0.9,1.0,1.2,1.6,0.7,1.1
67,Iberian Peninsula,aggressive_trade,False,3.6597499999999163,3.6,3.4,3.5,2.0,3.1,3.7,3.7,1.7,3.6,4.4,3.5
68,Iberian Peninsula,random_trade,False,3.1659999999999124,1.7,1.7,1.8,3.0,1.4,2.4,1.5,1.7,0.9,1.8,1.8
69,Iberian Peninsula,conservative_trade,False,1.6675000000000082,1.1,0.9,0.7,1.5,1.1,1.6,1.4,1.6,1.3,1.4,1.1
70,Iberian Peninsula,random_trade,False,7.6139999999999635,1.6,2.2,2.0,2.2,1.6,1.7,2.0,2.0,1.6,1.7,1.9
71,Italy,conservative_trade,False,3.4800000000000146,1.2,1.6,1.2,1.3,1.6,1.6,1.0,1.4,0.6,1.3,1.0
72,Italy,aggressive_trade,False,4.841999999999907,2.3,3.0,3.2,3.0,4.1,2.8,3.1,3.4,3.2,2.6,3.4
73,Italy,random_trade,False,2.653249999999923,1.2,1.4,1.8,2.8,1.9,1.3,2.0,2.1,2.0,1.4,1.7
74,Italy,aggressive_trade,False,6.454249999999952,3.0,3.3,4.0,2.0,3.3,3.0,3.1,2.9,3.1,3.3,3.9
75,Italy,conservative_trade,False,1.6077499999999945,0.9,1.1,1.1,1.1,1.4,2.0,1.1,1.6,1.2,0.9,2.1
