Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,WMPottery,AegeanPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery,AdriaticPottery,NAPottery
45,Egypt,aggressive_trade,False,4.060000000000131,2.4,3.4,2.4,1.9,2.0,2.0,2.8,2.9,3.1,1.9,3.5
46,Egypt,random_trade,False,3.6700000000001096,2.0,2.2,1.8,2.4,2.2,2.2,2.0,2.4,2.3,2.0,2.8
47,Egypt,conservative_trade,False,1.510000000000047,2.3,1.4,2.4,1.1,1.6,1.0,1.6,2.1,2.1,1.6,1.0
48,Egypt,random_trade,False,2.4799999999999742,2.1,1.9,2.1,2.7,2.4,2.4,2.9,2.4,1.6,1.4,2.1
49,Egypt,random_trade,False,2.720000000000087,1.5,2.2,1.8,2.5,1.7,2.5,3.1,2.5,1.5,2.3,3.1
50,Egypt,conservative_trade,False,2.0000000000001323,1.5,1.0,1.3,2.2,1.7,1.7,2.0,1.3,1.8,1.9,1.4
51,Gallia,aggressive_trade,False,3.0700000000000314,2.1,3.4,2.7,3.2,2.7,2.9,4.1,2.5,2.6,2.1,2.6
52,Gallia,conservative_trade,False,2.3000000000001455,1.0,1.2,2.0,1.8,1.3,1.8,1.9,1.9,1.1,2.0,0.7
53,Gallia,conservative_trade,False,1.2000000000000255,0.9,1.5,1.9,1.8,1.9,2.1,1.6,1.6,1.8,1.7,1.1
54,Gallia,aggressive_trade,False,1.2900000000001146,2.9,4.6,2.2,2.3,3.3,2.4,2.8,2.5,3.3,2.7,2.1
55,Gallia,conservative_trade,False,2.4700000000001245,1.5,1.2,1.8,2.5,1.4,1.7,1.9,2.3,1.8,1.3,1.8
56,Gallia,conservative_trade,False,2.540000000000018,1.5,1.2,1.9,1.5,1.5,1.2,1.8,2.3,1.8,1.5,2.3
57,Gallia,conservative_trade,False,2.790000000000114,1.3,1.8,2.0,1.2,2.2,1.5,1.4,1.6,1.5,1.9,1.9
58,Gallia,conservative_trade,False,2.930000000000155,1.6,2.3,1.4,1.2,1.5,1.3,2.3,2.3,2.3,1.7,1.3
59,Gallia,conservative_trade,False,2.370000000000052,2.4,1.2,1.6,0.9,2.2,1.9,1.4,1.9,2.0,1.1,1.6
60,Gallia,random_trade,False,2.9000000000001043,1.5,2.3,2.6,2.1,3.1,1.9,2.4,2.3,3.4,1.5,2.7
61,Iberian Peninsula,aggressive_trade,False,1.950000000000075,2.3,2.7,1.8,2.5,3.4,3.2,3.2,3.8,2.6,3.6,2.1
62,Iberian Peninsula,aggressive_trade,False,2.1200000000000414,2.4,4.1,3.2,2.6,3.2,3.4,2.2,2.6,1.8,2.5,2.7
63,Iberian Peninsula,random_trade,False,1.870000000000012,2.2,2.3,2.6,2.2,1.9,2.7,2.3,2.8,1.7,2.1,2.4
64,Iberian Peninsula,aggressive_trade,False,1.900000000000158,3.0,3.8,2.6,3.6,2.7,3.9,2.2,2.3,1.9,2.4,3.1
65,Iberian Peninsula,random_trade,False,2.220000000000101,3.4,2.6,2.5,2.6,2.2,2.9,2.6,2.0,1.9,2.3,2.3
66,Iberian Peninsula,aggressive_trade,False,3.7500000000000995,2.6,3.3,2.1,3.1,3.6,2.4,3.8,2.6,2.6,2.6,2.4
67,Iberian Peninsula,conservative_trade,False,1.9600000000000815,1.5,2.2,1.8,2.6,1.6,2.0,1.1,2.0,0.9,0.9,1.4
68,Iberian Peninsula,random_trade,False,3.739999999999994,1.6,2.1,2.4,2.1,1.8,3.3,2.3,1.6,3.2,2.7,2.8
69,Iberian Peninsula,aggressive_trade,False,3.750000000000049,3.5,2.2,2.5,1.9,2.6,2.9,2.9,2.6,4.4,2.9,3.0
70,Iberian Peninsula,random_trade,False,3.759999999999964,2.3,2.1,2.1,3.5,2.4,2.4,2.4,1.4,1.7,2.7,3.4
71,Italy,aggressive_trade,False,1.16000000000007,3.2,2.6,3.6,3.7,2.8,2.7,2.9,3.1,2.8,1.8,2.7
72,Italy,random_trade,False,4.000000000000082,1.3,2.6,1.9,2.7,2.1,2.4,2.2,2.4,3.1,2.9,1.9
73,Italy,random_trade,False,2.380000000000096,1.8,2.0,3.3,1.2,2.3,2.3,2.9,1.9,1.9,2.1,2.8
74,Italy,conservative_trade,False,2.1500000000000417,1.4,2.0,1.4,2.5,1.4,1.9,1.6,1.8,1.7,1.9,1.3
75,Italy,aggressive_trade,False,2.500000000000055,2.7,3.2,2.4,3.2,1.9,3.2,1.9,3.7,3.4,3.1,2.6
76,Italy,conservative_trade,False,3.1000000000000942,1.2,1.4,1.8,2.0,2.3,1.6,1.1,1.9,1.6,1.7,1.9
77,Italy,conservative_trade,False,3.1000000000000467,1.5,1.5,1.7,1.0,1.5,1.5,1.6,2.2,2.1,1.7,1.8
78,Italy,conservative_trade,False,2.420000000000137,1.1,1.9,1.5,1.7,1.9,1.2,1.3,2.1,2.1,1.7,1.9
79,Italy,conservative_trade,False,3.3700000000000605,1.5,1.8,1.3,1.8,1.7,1.7,1.6,2.2,1.6,1.7,1.3
80,Italy,random_trade,False,2.930000000000122,2.8,2.5,2.2,2.7,3.1,2.6,2.4,2.1,2.0,2.9,2.3
81,North Africa,random_trade,False,1.8900000000000823,2.1,2.2,1.9,2.7,2.4,2.5,1.8,3.0,2.8,2.2,3.4
82,North Africa,aggressive_trade,False,1.6700000000000348,4.4,2.8,2.5,2.2,2.7,3.0,2.8,3.3,2.7,2.6,3.3
83,North Africa,conservative_trade,False,1.53000000000007,2.0,1.4,1.6,1.8,1.1,1.8,1.9,1.7,1.8,2.1,2.2
84,North Africa,aggressive_trade,False,1.6400000000001342,2.8,2.5,3.0,2.8,3.8,2.7,3.0,4.2,3.2,2.9,2.9
85,North Africa,conservative_trade,False,3.400000000000029,1.8,2.0,0.8,1.9,1.8,1.3,1.6,1.4,2.0,2.1,1.5
86,North Africa,random_trade,False,1.3700000000001475,2.4,3.1,2.5,2.5,2.0,1.8,2.7,1.9,3.0,2.5,2.1
87,North Africa,random_trade,False,1.7700000000000113,1.9,2.6,2.6,2.6,2.1,3.6,2.5,2.4,2.3,2.6,1.9
88,North Africa,random_trade,False,1.890000000000081,1.6,2.2,2.2,1.8,2.6,3.0,2.8,2.3,3.2,1.9,2.8
89,North Africa,aggressive_trade,False,3.7800000000001512,2.6,3.5,2.0,3.1,2.9,2.5,2.8,4.1,2.9,2.9,3.2
90,North Africa,aggressive_trade,False,2.150000000000046,4.1,2.5,2.7,3.0,3.1,2.7,2.5,3.5,3.5,3.0,2.0
91,Tarraconensis,conservative_trade,False,1.7700000000000977,2.3,2.1,2.0,2.3,1.6,1.6,1.7,1.8,1.3,1.8,1.4
92,Tarraconensis,random_trade,False,2.2000000000000917,1.9,1.8,3.5,2.0,2.0,2.4,2.5,2.1,1.7,2.8,3.2
93,Tarraconensis,random_trade,False,1.330000000000028,2.5,2.4,2.2,3.1,1.6,3.1,2.2,2.1,3.3,2.6,2.1
94,Tarraconensis,conservative_trade,False,1.8900000000001593,2.0,1.9,1.4,1.5,1.8,2.1,2.2,1.6,1.8,1.5,1.6
95,Tarraconensis,aggressive_trade,False,1.4800000000000924,2.8,3.0,3.0,2.4,3.7,3.1,2.8,2.4,3.4,3.6,3.0
