Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AdriaticPottery,GallicPottery,NAPottery,EMPottery,BaeticanPottery,IberianPottery,EgyptianPottery,ItalianPottery,TarrPottery,AegeanPottery,total_pottery
43,Egypt,random_trade,False,"0,2525","3,1","3,1","2,1","3,8","2,9","3,3","3,1","2,3","2,7","3,7","30,1"
44,Egypt,aggressive_trade,True,"1699,94625","6,2","5,1","4,4","5,9","4,3","5,8","4,9","7,6","5,1","4,6","53,9"
45,Egypt,random_trade,False,"0,33475","2,2","2,6","3,7","1,9","3,4","3,3","3,4","3,1","3,1","2,2","28,9"
46,Egypt,random_trade,False,"0,251","3,4",3,"2,8","1,9","3,5","3,8","3,9","2,7","3,1","2,1","30,2"
47,Egypt,random_trade,False,"0,43825","3,3","2,6","2,7","3,2","2,8","2,5","2,9","2,5","2,9","2,9","28,3"
48,Egypt,aggressive_trade,True,"1344,87225","4,2",3,"4,6","5,9","7,9","6,4","4,4","6,5",5,"5,6","53,5"
49,Egypt,aggressive_trade,True,"1849,86675","6,2","4,6","5,7","5,3","5,2","5,3","6,1","4,9","6,2","5,6","55,1"
50,Egypt,random_trade,False,"0,20975","3,1","3,7","2,2","2,3","3,2","3,2","3,9","4,1",3,"3,5","32,2"
51,Gallia,random_trade,False,"0,32825","2,9","3,3","3,2","3,2","2,7","2,7","2,8","3,2","2,8","3,2",30
52,Gallia,aggressive_trade,True,"1595,2175",4,"4,4",5,"6,3","7,1","5,9",5,"6,4","5,1","5,9","55,1"
53,Gallia,random_trade,False,"0,3825","3,9",3,"4,1","3,2","2,6","2,2","3,7","2,7","2,5","2,2","30,1"
54,Gallia,aggressive_trade,True,"1707,8055","5,5","6,9","6,8","3,5","6,3","6,3",5,5,"4,2","5,5",55
55,Gallia,conservative_trade,False,"0,267","1,5","1,9","1,6","1,9","1,6","1,6","1,3","3,2","1,1","1,5","17,2"
56,Gallia,random_trade,False,"0,4165","3,3","3,4","2,8",4,"3,1","2,6","2,9","3,2",3,"3,1","31,4"
57,Gallia,random_trade,False,"0,4255","2,6","3,2","2,5","3,2",3,"3,6","3,7","3,4","2,9","3,9",32
58,Gallia,random_trade,False,"0,372",3,"3,3","3,5",4,"2,3","3,2","2,7","2,4",2,"3,5","29,9"
59,Gallia,random_trade,False,"0,43275","3,4","3,5","4,6",3,"2,6","2,9","3,8","3,1","2,5","3,2","32,6"
60,Gallia,conservative_trade,False,"0,2655","1,6","1,7","1,3","1,5","1,7","1,4","1,9",2,"1,6","1,3",16
61,Iberian Peninsula,random_trade,False,"0,2785","3,2","3,1","2,8",4,"3,4","2,2","2,9","3,5","2,7","4,5","32,3"
62,Iberian Peninsula,aggressive_trade,True,"1943,30825","4,3",5,"5,5","6,2",6,"6,1","5,3","6,4","5,9","6,8","57,5"
63,Iberian Peninsula,conservative_trade,False,"0,21975","1,1","1,5","1,6","1,7","2,2","1,5","1,3","2,1","1,4","1,4","15,8"
64,Iberian Peninsula,aggressive_trade,True,"2085,33575",5,"6,6","4,4","5,3","5,4","7,3","5,9",5,7,"5,6","57,5"
65,Iberian Peninsula,random_trade,False,"0,3735","3,3","3,5",3,"3,3","3,5","1,8","4,1","2,3",3,"3,3","31,1"
66,Iberian Peninsula,conservative_trade,False,"0,13875","1,9","1,7","1,3","1,8","1,6","1,7","1,7","1,9","1,8","1,7","17,1"
67,Iberian Peninsula,random_trade,False,"0,28475","3,4","3,4","4,1","2,3","2,9",3,"3,4","3,3","3,3","3,9",33
68,Iberian Peninsula,random_trade,False,"0,391","3,3","3,3","3,1","2,5","3,5",4,"3,6","2,5","3,7","2,2","31,7"
69,Iberian Peninsula,conservative_trade,False,"0,217","1,3","2,2","1,7","1,4","1,3",2,"1,2","1,4","2,3","1,6","16,4"
