Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AdriaticPottery,GallicPottery,NAPottery,EMPottery,BaeticanPottery,IberianPottery,EgyptianPottery,ItalianPottery,TarrPottery,AegeanPottery
43,Egypt,random_trade,False,0.25250000000004785,3.1,3.1,2.1,3.8,2.9,3.3,3.1,2.3,2.7,3.7
44,Egypt,aggressive_trade,True,1699.9462500000002,6.2,5.1,4.4,5.9,4.3,5.8,4.9,7.6,5.1,4.6
45,Egypt,random_trade,False,0.3347500000000508,2.2,2.6,3.7,1.9,3.4,3.3,3.4,3.1,3.1,2.2
46,Egypt,random_trade,False,0.2510000000000532,3.4,3.0,2.8,1.9,3.5,3.8,3.9,2.7,3.1,2.1
47,Egypt,random_trade,False,0.4382500000001607,3.3,2.6,2.7,3.2,2.8,2.5,2.9,2.5,2.9,2.9
48,Egypt,aggressive_trade,True,1344.8722500000001,4.2,3.0,4.6,5.9,7.9,6.4,4.4,6.5,5.0,5.6
49,Egypt,aggressive_trade,True,1849.8667499999997,6.2,4.6,5.7,5.3,5.2,5.3,6.1,4.9,6.2,5.6
50,Egypt,random_trade,False,0.20975000000016833,3.1,3.7,2.2,2.3,3.2,3.2,3.9,4.1,3.0,3.5
51,Gallia,random_trade,False,0.3282500000000558,2.9,3.3,3.2,3.2,2.7,2.7,2.8,3.2,2.8,3.2
52,Gallia,aggressive_trade,True,1595.2175000000004,4.0,4.4,5.0,6.3,7.1,5.9,5.0,6.4,5.1,5.9
53,Gallia,random_trade,False,0.38250000000010564,3.9,3.0,4.1,3.2,2.6,2.2,3.7,2.7,2.5,2.2
54,Gallia,aggressive_trade,True,1707.8055,5.5,6.9,6.8,3.5,6.3,6.3,5.0,5.0,4.2,5.5
55,Gallia,conservative_trade,False,0.2669999999999966,1.5,1.9,1.6,1.9,1.6,1.6,1.3,3.2,1.1,1.5
56,Gallia,random_trade,False,0.41650000000003795,3.3,3.4,2.8,4.0,3.1,2.6,2.9,3.2,3.0,3.1
57,Gallia,random_trade,False,0.42550000000002114,2.6,3.2,2.5,3.2,3.0,3.6,3.7,3.4,2.9,3.9
58,Gallia,random_trade,False,0.372000000000113,3.0,3.3,3.5,4.0,2.3,3.2,2.7,2.4,2.0,3.5
59,Gallia,random_trade,False,0.4327500000000309,3.4,3.5,4.6,3.0,2.6,2.9,3.8,3.1,2.5,3.2
60,Gallia,conservative_trade,False,0.265500000000054,1.6,1.7,1.3,1.5,1.7,1.4,1.9,2.0,1.6,1.3
61,Iberian Peninsula,random_trade,False,0.27850000000014113,3.2,3.1,2.8,4.0,3.4,2.2,2.9,3.5,2.7,4.5
62,Iberian Peninsula,aggressive_trade,True,1943.3082500000007,4.3,5.0,5.5,6.2,6.0,6.1,5.3,6.4,5.9,6.8
63,Iberian Peninsula,conservative_trade,False,0.2197500000000828,1.1,1.5,1.6,1.7,2.2,1.5,1.3,2.1,1.4,1.4
64,Iberian Peninsula,aggressive_trade,True,2085.335750000001,5.0,6.6,4.4,5.3,5.4,7.3,5.9,5.0,7.0,5.6
65,Iberian Peninsula,random_trade,False,0.3735000000000256,3.3,3.5,3.0,3.3,3.5,1.8,4.1,2.3,3.0,3.3
